年,在留資格,性別,年齢,人口
2014,教授,男,0歳,0
2014,芸術,男,0歳,0
2014,宗教,男,0歳,0
2014,報道,男,0歳,0
2014,投資・経営,男,0歳,0
2014,法律・会計業務,男,0歳,0
2014,医療,男,0歳,0
2014,研究,男,0歳,0
2014,教育,男,0歳,0
2014,技術,男,0歳,0
2014,人文知識・国際業務,男,0歳,0
2014,企業内転勤,男,0歳,0
2014,興行,男,0歳,0
2014,技能,男,0歳,0
2014,技能実習1号イ,男,0歳,0
2014,技能実習1号ロ,男,0歳,0
2014,技能実習2号イ,男,0歳,0
2014,技能実習2号ロ,男,0歳,0
2014,文化活動,男,0歳,0
2014,留学,男,0歳,0
2014,研修,男,0歳,0
2014,家族滞在,男,0歳,2726
2014,特定活動,男,0歳,88
2014,永住者,男,0歳,1553
2014,日本人の配偶者等,男,0歳,14
2014,永住者の配偶者等,男,0歳,680
2014,定住者,男,0歳,1050
2014,特別永住者,男,0歳,474
2014,教授,女,0歳,0
2014,芸術,女,0歳,0
2014,宗教,女,0歳,0
2014,報道,女,0歳,0
2014,投資・経営,女,0歳,0
2014,法律・会計業務,女,0歳,0
2014,医療,女,0歳,0
2014,研究,女,0歳,0
2014,教育,女,0歳,0
2014,技術,女,0歳,0
2014,人文知識・国際業務,女,0歳,0
2014,企業内転勤,女,0歳,0
2014,興行,女,0歳,0
2014,技能,女,0歳,0
2014,技能実習1号イ,女,0歳,0
2014,技能実習1号ロ,女,0歳,0
2014,技能実習2号イ,女,0歳,0
2014,技能実習2号ロ,女,0歳,0
2014,文化活動,女,0歳,0
2014,留学,女,0歳,0
2014,研修,女,0歳,0
2014,家族滞在,女,0歳,2543
2014,特定活動,女,0歳,78
2014,永住者,女,0歳,1366
2014,日本人の配偶者等,女,0歳,21
2014,永住者の配偶者等,女,0歳,646
2014,定住者,女,0歳,1070
2014,特別永住者,女,0歳,422
2014,教授,男,1歳,0
2014,芸術,男,1歳,0
2014,宗教,男,1歳,0
2014,報道,男,1歳,0
2014,投資・経営,男,1歳,0
2014,法律・会計業務,男,1歳,0
2014,医療,男,1歳,0
2014,研究,男,1歳,0
2014,教育,男,1歳,0
2014,技術,男,1歳,0
2014,人文知識・国際業務,男,1歳,0
2014,企業内転勤,男,1歳,0
2014,興行,男,1歳,0
2014,技能,男,1歳,0
2014,技能実習1号イ,男,1歳,0
2014,技能実習1号ロ,男,1歳,0
2014,技能実習2号イ,男,1歳,0
2014,技能実習2号ロ,男,1歳,0
2014,文化活動,男,1歳,0
2014,留学,男,1歳,0
2014,研修,男,1歳,0
2014,家族滞在,男,1歳,3294
2014,特定活動,男,1歳,113
2014,永住者,男,1歳,1784
2014,日本人の配偶者等,男,1歳,59
2014,永住者の配偶者等,男,1歳,708
2014,定住者,男,1歳,1503
2014,特別永住者,男,1歳,563
2014,教授,女,1歳,0
2014,芸術,女,1歳,0
2014,宗教,女,1歳,0
2014,報道,女,1歳,0
2014,投資・経営,女,1歳,0
2014,法律・会計業務,女,1歳,0
2014,医療,女,1歳,0
2014,研究,女,1歳,0
2014,教育,女,1歳,0
2014,技術,女,1歳,0
2014,人文知識・国際業務,女,1歳,0
2014,企業内転勤,女,1歳,0
2014,興行,女,1歳,0
2014,技能,女,1歳,0
2014,技能実習1号イ,女,1歳,0
2014,技能実習1号ロ,女,1歳,0
2014,技能実習2号イ,女,1歳,0
2014,技能実習2号ロ,女,1歳,0
2014,文化活動,女,1歳,0
2014,留学,女,1歳,0
2014,研修,女,1歳,0
2014,家族滞在,女,1歳,3080
2014,特定活動,女,1歳,113
2014,永住者,女,1歳,1685
2014,日本人の配偶者等,女,1歳,53
2014,永住者の配偶者等,女,1歳,711
2014,定住者,女,1歳,1362
2014,特別永住者,女,1歳,504
2014,教授,男,2歳,0
2014,芸術,男,2歳,0
2014,宗教,男,2歳,0
2014,報道,男,2歳,0
2014,投資・経営,男,2歳,0
2014,法律・会計業務,男,2歳,0
2014,医療,男,2歳,0
2014,研究,男,2歳,0
2014,教育,男,2歳,0
2014,技術,男,2歳,0
2014,人文知識・国際業務,男,2歳,0
2014,企業内転勤,男,2歳,0
2014,興行,男,2歳,0
2014,技能,男,2歳,0
2014,技能実習1号イ,男,2歳,0
2014,技能実習1号ロ,男,2歳,0
2014,技能実習2号イ,男,2歳,0
2014,技能実習2号ロ,男,2歳,0
2014,文化活動,男,2歳,0
2014,留学,男,2歳,0
2014,研修,男,2歳,0
2014,家族滞在,男,2歳,2972
2014,特定活動,男,2歳,67
2014,永住者,男,2歳,2192
2014,日本人の配偶者等,男,2歳,91
2014,永住者の配偶者等,男,2歳,311
2014,定住者,男,2歳,1538
2014,特別永住者,男,2歳,611
2014,教授,女,2歳,0
2014,芸術,女,2歳,0
2014,宗教,女,2歳,0
2014,報道,女,2歳,0
2014,投資・経営,女,2歳,0
2014,法律・会計業務,女,2歳,0
2014,医療,女,2歳,0
2014,研究,女,2歳,0
2014,教育,女,2歳,0
2014,技術,女,2歳,0
2014,人文知識・国際業務,女,2歳,0
2014,企業内転勤,女,2歳,0
2014,興行,女,2歳,0
2014,技能,女,2歳,0
2014,技能実習1号イ,女,2歳,0
2014,技能実習1号ロ,女,2歳,0
2014,技能実習2号イ,女,2歳,0
2014,技能実習2号ロ,女,2歳,0
2014,文化活動,女,2歳,0
2014,留学,女,2歳,0
2014,研修,女,2歳,0
2014,家族滞在,女,2歳,2782
2014,特定活動,女,2歳,62
2014,永住者,女,2歳,1922
2014,日本人の配偶者等,女,2歳,72
2014,永住者の配偶者等,女,2歳,274
2014,定住者,女,2歳,1415
2014,特別永住者,女,2歳,526
2014,教授,男,3歳,0
2014,芸術,男,3歳,0
2014,宗教,男,3歳,0
2014,報道,男,3歳,0
2014,投資・経営,男,3歳,0
2014,法律・会計業務,男,3歳,0
2014,医療,男,3歳,0
2014,研究,男,3歳,0
2014,教育,男,3歳,0
2014,技術,男,3歳,0
2014,人文知識・国際業務,男,3歳,0
2014,企業内転勤,男,3歳,0
2014,興行,男,3歳,0
2014,技能,男,3歳,0
2014,技能実習1号イ,男,3歳,0
2014,技能実習1号ロ,男,3歳,0
2014,技能実習2号イ,男,3歳,0
2014,技能実習2号ロ,男,3歳,0
2014,文化活動,男,3歳,0
2014,留学,男,3歳,0
2014,研修,男,3歳,0
2014,家族滞在,男,3歳,2434
2014,特定活動,男,3歳,92
2014,永住者,男,3歳,2223
2014,日本人の配偶者等,男,3歳,69
2014,永住者の配偶者等,男,3歳,269
2014,定住者,男,3歳,1510
2014,特別永住者,男,3歳,605
2014,教授,女,3歳,0
2014,芸術,女,3歳,0
2014,宗教,女,3歳,0
2014,報道,女,3歳,0
2014,投資・経営,女,3歳,0
2014,法律・会計業務,女,3歳,0
2014,医療,女,3歳,0
2014,研究,女,3歳,0
2014,教育,女,3歳,0
2014,技術,女,3歳,0
2014,人文知識・国際業務,女,3歳,0
2014,企業内転勤,女,3歳,0
2014,興行,女,3歳,0
2014,技能,女,3歳,0
2014,技能実習1号イ,女,3歳,0
2014,技能実習1号ロ,女,3歳,0
2014,技能実習2号イ,女,3歳,0
2014,技能実習2号ロ,女,3歳,0
2014,文化活動,女,3歳,0
2014,留学,女,3歳,0
2014,研修,女,3歳,0
2014,家族滞在,女,3歳,2265
2014,特定活動,女,3歳,62
2014,永住者,女,3歳,2063
2014,日本人の配偶者等,女,3歳,65
2014,永住者の配偶者等,女,3歳,219
2014,定住者,女,3歳,1390
2014,特別永住者,女,3歳,557
2014,教授,男,4歳,0
2014,芸術,男,4歳,0
2014,宗教,男,4歳,0
2014,報道,男,4歳,0
2014,投資・経営,男,4歳,0
2014,法律・会計業務,男,4歳,0
2014,医療,男,4歳,0
2014,研究,男,4歳,0
2014,教育,男,4歳,0
2014,技術,男,4歳,0
2014,人文知識・国際業務,男,4歳,0
2014,企業内転勤,男,4歳,0
2014,興行,男,4歳,0
2014,技能,男,4歳,0
2014,技能実習1号イ,男,4歳,0
2014,技能実習1号ロ,男,4歳,0
2014,技能実習2号イ,男,4歳,0
2014,技能実習2号ロ,男,4歳,0
2014,文化活動,男,4歳,0
2014,留学,男,4歳,0
2014,研修,男,4歳,0
2014,家族滞在,男,4歳,2035
2014,特定活動,男,4歳,60
2014,永住者,男,4歳,2235
2014,日本人の配偶者等,男,4歳,75
2014,永住者の配偶者等,男,4歳,183
2014,定住者,男,4歳,1471
2014,特別永住者,男,4歳,654
2014,教授,女,4歳,0
2014,芸術,女,4歳,0
2014,宗教,女,4歳,0
2014,報道,女,4歳,0
2014,投資・経営,女,4歳,0
2014,法律・会計業務,女,4歳,0
2014,医療,女,4歳,0
2014,研究,女,4歳,0
2014,教育,女,4歳,0
2014,技術,女,4歳,0
2014,人文知識・国際業務,女,4歳,0
2014,企業内転勤,女,4歳,0
2014,興行,女,4歳,0
2014,技能,女,4歳,0
2014,技能実習1号イ,女,4歳,0
2014,技能実習1号ロ,女,4歳,0
2014,技能実習2号イ,女,4歳,0
2014,技能実習2号ロ,女,4歳,0
2014,文化活動,女,4歳,0
2014,留学,女,4歳,0
2014,研修,女,4歳,0
2014,家族滞在,女,4歳,1923
2014,特定活動,女,4歳,44
2014,永住者,女,4歳,2114
2014,日本人の配偶者等,女,4歳,85
2014,永住者の配偶者等,女,4歳,185
2014,定住者,女,4歳,1366
2014,特別永住者,女,4歳,583
2014,教授,男,5歳,0
2014,芸術,男,5歳,0
2014,宗教,男,5歳,0
2014,報道,男,5歳,0
2014,投資・経営,男,5歳,0
2014,法律・会計業務,男,5歳,0
2014,医療,男,5歳,0
2014,研究,男,5歳,0
2014,教育,男,5歳,0
2014,技術,男,5歳,0
2014,人文知識・国際業務,男,5歳,0
2014,企業内転勤,男,5歳,0
2014,興行,男,5歳,0
2014,技能,男,5歳,0
2014,技能実習1号イ,男,5歳,0
2014,技能実習1号ロ,男,5歳,0
2014,技能実習2号イ,男,5歳,0
2014,技能実習2号ロ,男,5歳,0
2014,文化活動,男,5歳,0
2014,留学,男,5歳,0
2014,研修,男,5歳,0
2014,家族滞在,男,5歳,1819
2014,特定活動,男,5歳,34
2014,永住者,男,5歳,2477
2014,日本人の配偶者等,男,5歳,92
2014,永住者の配偶者等,男,5歳,158
2014,定住者,男,5歳,1384
2014,特別永住者,男,5歳,622
2014,教授,女,5歳,0
2014,芸術,女,5歳,0
2014,宗教,女,5歳,0
2014,報道,女,5歳,0
2014,投資・経営,女,5歳,0
2014,法律・会計業務,女,5歳,0
2014,医療,女,5歳,0
2014,研究,女,5歳,0
2014,教育,女,5歳,0
2014,技術,女,5歳,0
2014,人文知識・国際業務,女,5歳,0
2014,企業内転勤,女,5歳,0
2014,興行,女,5歳,0
2014,技能,女,5歳,0
2014,技能実習1号イ,女,5歳,0
2014,技能実習1号ロ,女,5歳,0
2014,技能実習2号イ,女,5歳,0
2014,技能実習2号ロ,女,5歳,0
2014,文化活動,女,5歳,0
2014,留学,女,5歳,0
2014,研修,女,5歳,0
2014,家族滞在,女,5歳,1668
2014,特定活動,女,5歳,37
2014,永住者,女,5歳,2347
2014,日本人の配偶者等,女,5歳,80
2014,永住者の配偶者等,女,5歳,178
2014,定住者,女,5歳,1516
2014,特別永住者,女,5歳,662
2014,教授,男,6歳,0
2014,芸術,男,6歳,0
2014,宗教,男,6歳,0
2014,報道,男,6歳,0
2014,投資・経営,男,6歳,0
2014,法律・会計業務,男,6歳,0
2014,医療,男,6歳,0
2014,研究,男,6歳,0
2014,教育,男,6歳,0
2014,技術,男,6歳,0
2014,人文知識・国際業務,男,6歳,0
2014,企業内転勤,男,6歳,0
2014,興行,男,6歳,0
2014,技能,男,6歳,0
2014,技能実習1号イ,男,6歳,0
2014,技能実習1号ロ,男,6歳,0
2014,技能実習2号イ,男,6歳,0
2014,技能実習2号ロ,男,6歳,0
2014,文化活動,男,6歳,0
2014,留学,男,6歳,0
2014,研修,男,6歳,0
2014,家族滞在,男,6歳,1533
2014,特定活動,男,6歳,35
2014,永住者,男,6歳,2540
2014,日本人の配偶者等,男,6歳,129
2014,永住者の配偶者等,男,6歳,121
2014,定住者,男,6歳,1390
2014,特別永住者,男,6歳,659
2014,教授,女,6歳,0
2014,芸術,女,6歳,0
2014,宗教,女,6歳,0
2014,報道,女,6歳,0
2014,投資・経営,女,6歳,0
2014,法律・会計業務,女,6歳,0
2014,医療,女,6歳,0
2014,研究,女,6歳,0
2014,教育,女,6歳,0
2014,技術,女,6歳,0
2014,人文知識・国際業務,女,6歳,0
2014,企業内転勤,女,6歳,0
2014,興行,女,6歳,0
2014,技能,女,6歳,0
2014,技能実習1号イ,女,6歳,0
2014,技能実習1号ロ,女,6歳,0
2014,技能実習2号イ,女,6歳,0
2014,技能実習2号ロ,女,6歳,0
2014,文化活動,女,6歳,0
2014,留学,女,6歳,0
2014,研修,女,6歳,0
2014,家族滞在,女,6歳,1397
2014,特定活動,女,6歳,41
2014,永住者,女,6歳,2494
2014,日本人の配偶者等,女,6歳,80
2014,永住者の配偶者等,女,6歳,95
2014,定住者,女,6歳,1416
2014,特別永住者,女,6歳,685
2014,教授,男,7歳,0
2014,芸術,男,7歳,0
2014,宗教,男,7歳,0
2014,報道,男,7歳,0
2014,投資・経営,男,7歳,0
2014,法律・会計業務,男,7歳,0
2014,医療,男,7歳,0
2014,研究,男,7歳,0
2014,教育,男,7歳,0
2014,技術,男,7歳,0
2014,人文知識・国際業務,男,7歳,0
2014,企業内転勤,男,7歳,0
2014,興行,男,7歳,0
2014,技能,男,7歳,0
2014,技能実習1号イ,男,7歳,0
2014,技能実習1号ロ,男,7歳,0
2014,技能実習2号イ,男,7歳,0
2014,技能実習2号ロ,男,7歳,0
2014,文化活動,男,7歳,0
2014,留学,男,7歳,0
2014,研修,男,7歳,0
2014,家族滞在,男,7歳,1240
2014,特定活動,男,7歳,22
2014,永住者,男,7歳,2521
2014,日本人の配偶者等,男,7歳,104
2014,永住者の配偶者等,男,7歳,87
2014,定住者,男,7歳,1401
2014,特別永住者,男,7歳,672
2014,教授,女,7歳,0
2014,芸術,女,7歳,0
2014,宗教,女,7歳,0
2014,報道,女,7歳,0
2014,投資・経営,女,7歳,0
2014,法律・会計業務,女,7歳,0
2014,医療,女,7歳,0
2014,研究,女,7歳,0
2014,教育,女,7歳,0
2014,技術,女,7歳,0
2014,人文知識・国際業務,女,7歳,0
2014,企業内転勤,女,7歳,0
2014,興行,女,7歳,0
2014,技能,女,7歳,0
2014,技能実習1号イ,女,7歳,0
2014,技能実習1号ロ,女,7歳,0
2014,技能実習2号イ,女,7歳,0
2014,技能実習2号ロ,女,7歳,0
2014,文化活動,女,7歳,0
2014,留学,女,7歳,1
2014,研修,女,7歳,0
2014,家族滞在,女,7歳,1206
2014,特定活動,女,7歳,34
2014,永住者,女,7歳,2339
2014,日本人の配偶者等,女,7歳,108
2014,永住者の配偶者等,女,7歳,71
2014,定住者,女,7歳,1369
2014,特別永住者,女,7歳,629
2014,教授,男,8歳,0
2014,芸術,男,8歳,0
2014,宗教,男,8歳,0
2014,報道,男,8歳,0
2014,投資・経営,男,8歳,0
2014,法律・会計業務,男,8歳,0
2014,医療,男,8歳,0
2014,研究,男,8歳,0
2014,教育,男,8歳,0
2014,技術,男,8歳,0
2014,人文知識・国際業務,男,8歳,0
2014,企業内転勤,男,8歳,0
2014,興行,男,8歳,0
2014,技能,男,8歳,0
2014,技能実習1号イ,男,8歳,0
2014,技能実習1号ロ,男,8歳,0
2014,技能実習2号イ,男,8歳,0
2014,技能実習2号ロ,男,8歳,0
2014,文化活動,男,8歳,0
2014,留学,男,8歳,0
2014,研修,男,8歳,0
2014,家族滞在,男,8歳,1068
2014,特定活動,男,8歳,26
2014,永住者,男,8歳,2376
2014,日本人の配偶者等,男,8歳,138
2014,永住者の配偶者等,男,8歳,72
2014,定住者,男,8歳,1382
2014,特別永住者,男,8歳,709
2014,教授,女,8歳,0
2014,芸術,女,8歳,0
2014,宗教,女,8歳,0
2014,報道,女,8歳,0
2014,投資・経営,女,8歳,0
2014,法律・会計業務,女,8歳,0
2014,医療,女,8歳,0
2014,研究,女,8歳,0
2014,教育,女,8歳,0
2014,技術,女,8歳,0
2014,人文知識・国際業務,女,8歳,0
2014,企業内転勤,女,8歳,0
2014,興行,女,8歳,0
2014,技能,女,8歳,0
2014,技能実習1号イ,女,8歳,0
2014,技能実習1号ロ,女,8歳,0
2014,技能実習2号イ,女,8歳,0
2014,技能実習2号ロ,女,8歳,0
2014,文化活動,女,8歳,0
2014,留学,女,8歳,0
2014,研修,女,8歳,0
2014,家族滞在,女,8歳,1059
2014,特定活動,女,8歳,21
2014,永住者,女,8歳,2283
2014,日本人の配偶者等,女,8歳,130
2014,永住者の配偶者等,女,8歳,53
2014,定住者,女,8歳,1263
2014,特別永住者,女,8歳,651
2014,教授,男,9歳,0
2014,芸術,男,9歳,0
2014,宗教,男,9歳,0
2014,報道,男,9歳,0
2014,投資・経営,男,9歳,0
2014,法律・会計業務,男,9歳,0
2014,医療,男,9歳,0
2014,研究,男,9歳,0
2014,教育,男,9歳,0
2014,技術,男,9歳,0
2014,人文知識・国際業務,男,9歳,0
2014,企業内転勤,男,9歳,0
2014,興行,男,9歳,0
2014,技能,男,9歳,0
2014,技能実習1号イ,男,9歳,0
2014,技能実習1号ロ,男,9歳,0
2014,技能実習2号イ,男,9歳,0
2014,技能実習2号ロ,男,9歳,0
2014,文化活動,男,9歳,0
2014,留学,男,9歳,2
2014,研修,男,9歳,0
2014,家族滞在,男,9歳,927
2014,特定活動,男,9歳,25
2014,永住者,男,9歳,2452
2014,日本人の配偶者等,男,9歳,123
2014,永住者の配偶者等,男,9歳,40
2014,定住者,男,9歳,1259
2014,特別永住者,男,9歳,746
2014,教授,女,9歳,0
2014,芸術,女,9歳,0
2014,宗教,女,9歳,0
2014,報道,女,9歳,0
2014,投資・経営,女,9歳,0
2014,法律・会計業務,女,9歳,0
2014,医療,女,9歳,0
2014,研究,女,9歳,0
2014,教育,女,9歳,0
2014,技術,女,9歳,0
2014,人文知識・国際業務,女,9歳,0
2014,企業内転勤,女,9歳,0
2014,興行,女,9歳,0
2014,技能,女,9歳,0
2014,技能実習1号イ,女,9歳,0
2014,技能実習1号ロ,女,9歳,0
2014,技能実習2号イ,女,9歳,0
2014,技能実習2号ロ,女,9歳,0
2014,文化活動,女,9歳,0
2014,留学,女,9歳,0
2014,研修,女,9歳,0
2014,家族滞在,女,9歳,943
2014,特定活動,女,9歳,16
2014,永住者,女,9歳,2289
2014,日本人の配偶者等,女,9歳,120
2014,永住者の配偶者等,女,9歳,33
2014,定住者,女,9歳,1248
2014,特別永住者,女,9歳,738
2014,教授,男,10歳,0
2014,芸術,男,10歳,0
2014,宗教,男,10歳,0
2014,報道,男,10歳,0
2014,投資・経営,男,10歳,0
2014,法律・会計業務,男,10歳,0
2014,医療,男,10歳,0
2014,研究,男,10歳,0
2014,教育,男,10歳,0
2014,技術,男,10歳,0
2014,人文知識・国際業務,男,10歳,0
2014,企業内転勤,男,10歳,0
2014,興行,男,10歳,0
2014,技能,男,10歳,0
2014,技能実習1号イ,男,10歳,0
2014,技能実習1号ロ,男,10歳,0
2014,技能実習2号イ,男,10歳,0
2014,技能実習2号ロ,男,10歳,0
2014,文化活動,男,10歳,0
2014,留学,男,10歳,0
2014,研修,男,10歳,0
2014,家族滞在,男,10歳,870
2014,特定活動,男,10歳,22
2014,永住者,男,10歳,2491
2014,日本人の配偶者等,男,10歳,101
2014,永住者の配偶者等,男,10歳,34
2014,定住者,男,10歳,1223
2014,特別永住者,男,10歳,739
2014,教授,女,10歳,0
2014,芸術,女,10歳,0
2014,宗教,女,10歳,0
2014,報道,女,10歳,0
2014,投資・経営,女,10歳,0
2014,法律・会計業務,女,10歳,0
2014,医療,女,10歳,0
2014,研究,女,10歳,0
2014,教育,女,10歳,0
2014,技術,女,10歳,0
2014,人文知識・国際業務,女,10歳,0
2014,企業内転勤,女,10歳,0
2014,興行,女,10歳,0
2014,技能,女,10歳,0
2014,技能実習1号イ,女,10歳,0
2014,技能実習1号ロ,女,10歳,0
2014,技能実習2号イ,女,10歳,0
2014,技能実習2号ロ,女,10歳,0
2014,文化活動,女,10歳,0
2014,留学,女,10歳,1
2014,研修,女,10歳,0
2014,家族滞在,女,10歳,761
2014,特定活動,女,10歳,9
2014,永住者,女,10歳,2257
2014,日本人の配偶者等,女,10歳,96
2014,永住者の配偶者等,女,10歳,20
2014,定住者,女,10歳,1211
2014,特別永住者,女,10歳,770
2014,教授,男,11歳,0
2014,芸術,男,11歳,0
2014,宗教,男,11歳,0
2014,報道,男,11歳,0
2014,投資・経営,男,11歳,0
2014,法律・会計業務,男,11歳,0
2014,医療,男,11歳,0
2014,研究,男,11歳,0
2014,教育,男,11歳,0
2014,技術,男,11歳,0
2014,人文知識・国際業務,男,11歳,0
2014,企業内転勤,男,11歳,0
2014,興行,男,11歳,0
2014,技能,男,11歳,0
2014,技能実習1号イ,男,11歳,0
2014,技能実習1号ロ,男,11歳,0
2014,技能実習2号イ,男,11歳,0
2014,技能実習2号ロ,男,11歳,0
2014,文化活動,男,11歳,0
2014,留学,男,11歳,0
2014,研修,男,11歳,0
2014,家族滞在,男,11歳,821
2014,特定活動,男,11歳,19
2014,永住者,男,11歳,2501
2014,日本人の配偶者等,男,11歳,84
2014,永住者の配偶者等,男,11歳,22
2014,定住者,男,11歳,1193
2014,特別永住者,男,11歳,845
2014,教授,女,11歳,0
2014,芸術,女,11歳,0
2014,宗教,女,11歳,0
2014,報道,女,11歳,0
2014,投資・経営,女,11歳,0
2014,法律・会計業務,女,11歳,0
2014,医療,女,11歳,0
2014,研究,女,11歳,0
2014,教育,女,11歳,0
2014,技術,女,11歳,0
2014,人文知識・国際業務,女,11歳,0
2014,企業内転勤,女,11歳,0
2014,興行,女,11歳,0
2014,技能,女,11歳,0
2014,技能実習1号イ,女,11歳,0
2014,技能実習1号ロ,女,11歳,0
2014,技能実習2号イ,女,11歳,0
2014,技能実習2号ロ,女,11歳,0
2014,文化活動,女,11歳,0
2014,留学,女,11歳,1
2014,研修,女,11歳,0
2014,家族滞在,女,11歳,724
2014,特定活動,女,11歳,22
2014,永住者,女,11歳,2335
2014,日本人の配偶者等,女,11歳,93
2014,永住者の配偶者等,女,11歳,17
2014,定住者,女,11歳,1222
2014,特別永住者,女,11歳,812
2014,教授,男,12歳,0
2014,芸術,男,12歳,0
2014,宗教,男,12歳,0
2014,報道,男,12歳,0
2014,投資・経営,男,12歳,0
2014,法律・会計業務,男,12歳,0
2014,医療,男,12歳,0
2014,研究,男,12歳,0
2014,教育,男,12歳,0
2014,技術,男,12歳,0
2014,人文知識・国際業務,男,12歳,0
2014,企業内転勤,男,12歳,0
2014,興行,男,12歳,0
2014,技能,男,12歳,0
2014,技能実習1号イ,男,12歳,0
2014,技能実習1号ロ,男,12歳,0
2014,技能実習2号イ,男,12歳,0
2014,技能実習2号ロ,男,12歳,0
2014,文化活動,男,12歳,0
2014,留学,男,12歳,0
2014,研修,男,12歳,0
2014,家族滞在,男,12歳,840
2014,特定活動,男,12歳,19
2014,永住者,男,12歳,2452
2014,日本人の配偶者等,男,12歳,112
2014,永住者の配偶者等,男,12歳,11
2014,定住者,男,12歳,1173
2014,特別永住者,男,12歳,888
2014,教授,女,12歳,0
2014,芸術,女,12歳,0
2014,宗教,女,12歳,0
2014,報道,女,12歳,0
2014,投資・経営,女,12歳,0
2014,法律・会計業務,女,12歳,0
2014,医療,女,12歳,0
2014,研究,女,12歳,0
2014,教育,女,12歳,0
2014,技術,女,12歳,0
2014,人文知識・国際業務,女,12歳,0
2014,企業内転勤,女,12歳,0
2014,興行,女,12歳,2
2014,技能,女,12歳,0
2014,技能実習1号イ,女,12歳,0
2014,技能実習1号ロ,女,12歳,0
2014,技能実習2号イ,女,12歳,0
2014,技能実習2号ロ,女,12歳,0
2014,文化活動,女,12歳,0
2014,留学,女,12歳,0
2014,研修,女,12歳,0
2014,家族滞在,女,12歳,724
2014,特定活動,女,12歳,20
2014,永住者,女,12歳,2329
2014,日本人の配偶者等,女,12歳,94
2014,永住者の配偶者等,女,12歳,12
2014,定住者,女,12歳,1219
2014,特別永住者,女,12歳,852
2014,教授,男,13歳,0
2014,芸術,男,13歳,0
2014,宗教,男,13歳,0
2014,報道,男,13歳,0
2014,投資・経営,男,13歳,0
2014,法律・会計業務,男,13歳,0
2014,医療,男,13歳,0
2014,研究,男,13歳,0
2014,教育,男,13歳,0
2014,技術,男,13歳,0
2014,人文知識・国際業務,男,13歳,0
2014,企業内転勤,男,13歳,0
2014,興行,男,13歳,0
2014,技能,男,13歳,0
2014,技能実習1号イ,男,13歳,0
2014,技能実習1号ロ,男,13歳,0
2014,技能実習2号イ,男,13歳,0
2014,技能実習2号ロ,男,13歳,0
2014,文化活動,男,13歳,0
2014,留学,男,13歳,0
2014,研修,男,13歳,0
2014,家族滞在,男,13歳,823
2014,特定活動,男,13歳,21
2014,永住者,男,13歳,2630
2014,日本人の配偶者等,男,13歳,95
2014,永住者の配偶者等,男,13歳,4
2014,定住者,男,13歳,1319
2014,特別永住者,男,13歳,1006
2014,教授,女,13歳,0
2014,芸術,女,13歳,0
2014,宗教,女,13歳,0
2014,報道,女,13歳,0
2014,投資・経営,女,13歳,0
2014,法律・会計業務,女,13歳,0
2014,医療,女,13歳,0
2014,研究,女,13歳,0
2014,教育,女,13歳,0
2014,技術,女,13歳,0
2014,人文知識・国際業務,女,13歳,0
2014,企業内転勤,女,13歳,0
2014,興行,女,13歳,0
2014,技能,女,13歳,0
2014,技能実習1号イ,女,13歳,0
2014,技能実習1号ロ,女,13歳,0
2014,技能実習2号イ,女,13歳,0
2014,技能実習2号ロ,女,13歳,0
2014,文化活動,女,13歳,1
2014,留学,女,13歳,0
2014,研修,女,13歳,0
2014,家族滞在,女,13歳,721
2014,特定活動,女,13歳,28
2014,永住者,女,13歳,2511
2014,日本人の配偶者等,女,13歳,90
2014,永住者の配偶者等,女,13歳,1
2014,定住者,女,13歳,1248
2014,特別永住者,女,13歳,911
2014,教授,男,14歳,0
2014,芸術,男,14歳,0
2014,宗教,男,14歳,0
2014,報道,男,14歳,0
2014,投資・経営,男,14歳,0
2014,法律・会計業務,男,14歳,0
2014,医療,男,14歳,0
2014,研究,男,14歳,0
2014,教育,男,14歳,0
2014,技術,男,14歳,0
2014,人文知識・国際業務,男,14歳,0
2014,企業内転勤,男,14歳,0
2014,興行,男,14歳,2
2014,技能,男,14歳,0
2014,技能実習1号イ,男,14歳,0
2014,技能実習1号ロ,男,14歳,0
2014,技能実習2号イ,男,14歳,0
2014,技能実習2号ロ,男,14歳,0
2014,文化活動,男,14歳,0
2014,留学,男,14歳,5
2014,研修,男,14歳,0
2014,家族滞在,男,14歳,796
2014,特定活動,男,14歳,31
