年,区分,性別,年齢,人口_千人
2024,日本人,男,0歳,355.99112212071583
2024,日本人,男,1歳,377.9905734877264
2024,日本人,男,2歳,399.99002485473693
2024,日本人,男,3歳,413.98967572465267
2024,日本人,男,4歳,417.9895759732001
2024,日本人,男,5歳,435.9891270916633
2024,日本人,男,6歳,458.9885535208107
2024,日本人,男,7歳,470.98825426645277
2024,日本人,男,8歳,492.98770563346324
2024,日本人,男,9歳,505.49956399206593
2024,日本人,男,10歳,504.9874063791053
2024,日本人,男,11歳,516.9871071247475
2024,日本人,男,12歳,518.9870572490213
2024,日本人,男,13歳,533.9866831810739
2024,日本人,男,14歳,538.4742138544085
2024,日本人,男,15歳,541.9864836781685
2024,日本人,男,16歳,551.4988045948303
2024,日本人,男,17歳,548.9863091131265
2024,日本人,男,18歳,543.9864338024423
2024,日本人,男,19歳,544.4732389880588
2024,日本人,男,20歳,565.9858851694527
2024,日本人,男,21歳,570.9857604801371
2024,日本人,男,22歳,589.4988123061839
2024,日本人,男,23歳,595.9851370335581
2024,日本人,男,24歳,598.9850622199687
2024,日本人,男,25歳,595.9851370335581
2024,日本人,男,26歳,603.4946708053449
2024,日本人,男,27歳,600.9850123442423
2024,日本人,男,28歳,602.4951441753675
2024,日本人,男,29歳,609.984787903474
2024,日本人,男,30歳,610.9847629656108
2024,日本人,男,31歳,596.9851120956948
2024,日本人,男,32歳,605.4958795797768
2024,日本人,男,33歳,601.984987406379
2024,日本人,男,34歳,611.9847380277475
2024,日本人,男,35歳,625.9843888976633
2024,日本人,男,36歳,649.9837903889476
2024,日本人,男,37歳,667.9833415074107
2024,日本人,男,38歳,680.9830173151896
2024,日本人,男,39歳,705.9823938686108
2024,日本人,男,40歳,730.9817704220317
2024,日本人,男,41歳,740.4897750650417
2024,日本人,男,42歳,739.9815459812633
2024,日本人,男,43歳,749.9812966026317
2024,日本人,男,44歳,784.9804237774212
2024,日本人,男,45歳,805.979900082295
2024,日本人,男,46歳,836.4709429605658
2024,日本人,男,47歳,859.9785534376844
2024,日本人,男,48歳,901.4690632593555
2024,日本人,男,49歳,938.4687539341929
2024,日本人,男,50歳,992.9752367018846
2024,日本人,男,51歳,1005.9749125096636
2024,日本人,男,52歳,988.9753364533371
2024,日本人,男,53歳,956.976134464958
2024,日本人,男,54歳,924.4712042466848
2024,日本人,男,55歳,907.9773564202528
2024,日本人,男,56歳,883.9779549289686
2024,日本人,男,57歳,879.9780546804213
2024,日本人,男,58歳,679.9830422530529
2024,日本人,男,59歳,839.9790521949477
2024,日本人,男,60歳,782.9804736531476
2024,日本人,男,61歳,760.981022286137
2024,日本人,男,62歳,733.9816956084422
2024,日本人,男,63歳,715.4779961750183
2024,日本人,男,64歳,713.9821943657055
2024,日本人,男,65歳,723.4897750720588
2024,日本人,男,66歳,696.9826183093791
2024,日本人,男,67歳,671.9832417559581
2024,日本人,男,68歳,699.9825434957896
2024,日本人,男,69歳,714.9821694278423
2024,日本人,男,70歳,706.4629809304681
2024,日本人,男,71歳,737.5051713277082
2024,日本人,男,72歳,766.9808726589581
2024,日本人,男,73歳,798.980074647337
2024,日本人,男,74歳,837.9791020706739
2024,日本人,男,75歳,900.977530985295
2024,日本人,男,76歳,868.978328996916
2024,日本人,男,77歳,804.526670557872
2024,日本人,男,78歳,479.98802982568435
2024,日本人,男,79歳,493.42243905994786
2024,日本人,男,80歳,579.9855360393685
2024,日本人,男,81歳,537.9865834296212
2024,日本人,男,82歳,527.9868328082529
2024,日本人,男,83歳,484.9879051363685
2024,日本人,男,84歳,411.98972560037913
2024,日本人,男,85歳,331.38206602197323
2024,日本人,男,86歳,321.9919700080633
2024,日本人,男,87歳,298.99254357891584
2024,日本人,男,88歳,265.9933665284001
2024,日本人,男,89歳,218.99453860796845
2024,日本人,男,90歳,175.99561093608423
2024,日本人,男,91歳,147.29510717097378
2024,日本人,男,92歳,118.28002389649308
2024,日本人,男,93歳,90.99773065445267
2024,日本人,男,94歳,67.24464654979774
2024,日本人,男,95歳,49.998753106842116
2024,日本人,男,96歳,35.999102236926326
2024,日本人,男,97歳,21.99945136701053
2024,日本人,男,98歳,14.17464650578974
2024,日本人,男,99歳,7.999800497094738
2024,日本人,男,100歳以上,10.87472880073816
2024,日本人,女,0歳,338.9915460643896
2024,日本人,女,1歳,359.99102236926325
2024,日本人,女,2歳,379.9905236120001
2024,日本人,女,3歳,395.99012460618957
2024,日本人,女,4歳,399.99002485473693
2024,日本人,女,5歳,416.9896009110633
2024,日本人,女,6歳,437.98907721593696
2024,日本人,女,7歳,449.98877796157905
2024,日本人,女,8歳,467.98832908004215
2024,日本人,女,9歳,481.47582233699745
2024,日本人,女,10歳,479.9880298256843
2024,日本人,女,11歳,493.9876806956001
2024,日本人,女,12歳,495.9876308198739
2024,日本人,女,13歳,506.9873565033791
2024,日本人,女,14歳,512.499576451413
2024,日本人,女,15歳,514.9871570004738
2024,日本人,女,16歳,524.4743622644121
2024,日本人,女,17歳,520.9870073732949
2024,日本人,女,18歳,517.9870821868843
2024,日本人,女,19歳,516.500301939131
2024,日本人,女,20歳,535.9866333053475
2024,日本人,女,21歳,537.9865834296212
2024,日本人,女,22歳,558.4725590269111
2024,日本人,女,23歳,566.9858602315896
2024,日本人,女,24歳,569.9857854180001
2024,日本人,女,25歳,571.9857355422738
2024,日本人,女,26歳,580.4758027646766
2024,日本人,女,27歳,578.9855609772317
2024,日本人,女,28歳,578.4754042082433
2024,日本人,女,29歳,585.9853864121897
2024,日本人,女,30歳,584.9854113500528
2024,日本人,女,31歳,569.9857854180001
2024,日本人,女,32歳,579.4745690523814
2024,日本人,女,33歳,577.9855859150948
2024,日本人,女,34歳,588.9853115986002
2024,日本人,女,35歳,602.9849624685158
2024,日本人,女,36歳,623.9844387733896
2024,日本人,女,37歳,642.9839649539896
2024,日本人,女,38歳,653.983690637495
2024,日本人,女,39歳,681.9829923773265
2024,日本人,女,40歳,706.9823689307475
2024,日本人,女,41歳,716.4738904683377
2024,日本人,女,42歳,715.9821444899791
2024,日本人,女,43歳,724.9819200492108
2024,日本人,女,44歳,757.9810970997264
2024,日本人,女,45歳,776.9806232803264
2024,日本人,女,46歳,809.4880093166765
2024,日本人,女,47歳,831.9792516978528
2024,日本人,女,48歳,871.486721909266
2024,日本人,女,49歳,909.4851608946918
2024,日本人,女,50歳,960.9760347135054
2024,日本人,女,51歳,980.9755359562424
2024,日本人,女,52歳,959.9760596513687
2024,日本人,女,53歳,932.976732973674
2024,日本人,女,54歳,903.4832093394629
2024,日本人,女,55歳,890.9777803639265
2024,日本人,女,56歳,868.978328996916
2024,日本人,女,57歳,869.9783040590529
2024,日本人,女,58歳,678.983067190916
2024,日本人,女,59歳,837.9791020706739
2024,日本人,女,60歳,784.9804237774212
2024,日本人,女,61歳,763.9809474725475
2024,日本人,女,62歳,740.9815210434001
2024,日本人,女,63歳,727.4860184884452
2024,日本人,女,64歳,733.9816956084422
2024,日本人,女,65歳,746.4735662690993
2024,日本人,女,66歳,726.9818701734844
2024,日本人,女,67歳,705.9823938686109
2024,日本人,女,68歳,740.9815210434002
2024,日本人,女,69歳,762.9809724104107
2024,日本人,女,70歳,763.5003604106901
2024,日本人,女,71歳,810.4562248601239
2024,日本人,女,72歳,854.9786781270003
2024,日本人,女,73歳,900.9775309852951
2024,日本人,女,74歳,965.9759100241898
2024,日本人,女,75歳,1050.9737903058215
2024,日本人,女,76歳,1032.974239187358
2024,日本人,女,77歳,970.4290647350233
2024,日本人,女,78歳,600.9850123442423
2024,日本人,女,79歳,641.5492564653683
2024,日本人,女,80歳,773.9806980939161
2024,日本人,女,81歳,734.9816706705791
2024,日本人,女,82歳,739.9815459812635
2024,日本人,女,83歳,700.9825185579265
2024,日本人,女,84歳,618.9845634627055
2024,日本人,女,85歳,517.5967617322059
2024,日本人,女,86歳,530.9867579946633
2024,日本人,女,87歳,518.9870572490212
2024,日本人,女,88歳,488.98780538491593
2024,日本人,女,89歳,435.98912709166325
2024,日本人,女,90歳,379.99052361200006
2024,日本人,女,91歳,345.69259846248946
2024,日本人,女,92歳,299.709552076707
2024,日本人,女,93歳,252.99369072062112
2024,日本人,女,94歳,205.7485454135602
2024,日本人,女,95歳,167.9958104389895
2024,日本人,女,96歳,134.99663338847373
2024,日本人,女,97歳,89.99775559231581
2024,日本人,女,98歳,66.8233335272945
2024,日本人,女,99歳,43.99890273402106
2024,日本人,女,100歳以上,76.12310160516712
