年,在留資格,年代,人数
2013,その他,0~13歳,961.6744679560542
2013,その他,10代(14歳以上),209.3899570304846
2013,その他,20代,2170.2086747269955
2013,その他,30代,2842.4178438837275
2013,その他,40代,1005.1787891254946
2013,その他,50代,293.9163065726834
2013,その他,60代,71.66550496628402
2013,その他,70代以上,36.59241967523031
2013,定住者,0~13歳,806.7237598459117
2013,定住者,10代(14歳以上),380.9677470632315
2013,定住者,20代,801.416789039212
2013,定住者,30代,733.8599066329532
2013,定住者,40代,474.58870383465444
2013,定住者,50代,199.69617567792352
2013,定住者,60代,55.85158792535132
2013,定住者,70代以上,36.91340581273216
2013,技能実習,0~13歳,0.0
2013,技能実習,10代(14歳以上),256.79425379356456
2013,技能実習,20代,5464.281672812922
2013,技能実習,30代,1694.7836241451635
2013,技能実習,40代,111.0079864179693
2013,技能実習,50代,0.5845089236575838
2013,技能実習,60代,0.0
2013,技能実習,70代以上,0.0
2013,日本人の配偶者等,0~13歳,104.43748337217933
2013,日本人の配偶者等,10代(14歳以上),47.595963045359845
2013,日本人の配偶者等,20代,1114.8981204292475
2013,日本人の配偶者等,30代,2492.776374653546
2013,日本人の配偶者等,40代,1632.6078682928455
2013,日本人の配偶者等,50代,785.9552887202871
2013,日本人の配偶者等,60代,261.86071654572635
2013,日本人の配偶者等,70代以上,63.143424841535776
2013,留学,0~13歳,0.10443614398446596
2013,留学,10代(14歳以上),347.32850585633724
2013,留学,20代,3864.1895454972323
2013,留学,30代,420.43380664546345
2013,留学,40代,26.944525147992103
2013,留学,50代,2.2714861316617085
2013,留学,60代,0.46996264792983183
2013,留学,70代以上,0.05221807199223298
2013,短期滞在,0~13歳,1997.059812660652
2013,短期滞在,10代(14歳以上),1402.605730765214
2013,短期滞在,20代,6306.2348487350755
2013,短期滞在,30代,7908.909320219453
2013,短期滞在,40代,6536.950548271151
2013,短期滞在,50代,4903.776902493614
2013,短期滞在,60代,2306.054339514874
2013,短期滞在,70代以上,873.8246854344305
2014,その他,0~13歳,825.837447076108
2014,その他,10代(14歳以上),179.5886520455609
2014,その他,20代,1880.175974951398
2014,その他,30代,2383.422614644091
2014,その他,40代,859.0623259531125
2014,その他,50代,259.6805308373969
2014,その他,60代,66.66319380675081
2014,その他,70代以上,34.89679462349115
2014,定住者,0~13歳,660.0687794456604
2014,定住者,10代(14歳以上),313.25298007590663
2014,定住者,20代,615.140490343245
2014,定住者,30代,597.5320159919421
2014,定住者,40代,396.0305958647591
2014,定住者,50代,176.2803932280439
2014,定住者,60代,49.303728183648154
2014,定住者,70代以上,31.01937299865886
2014,技能実習,0~13歳,0.0
2014,技能実習,10代(14歳以上),245.2232638674105
2014,技能実習,20代,4597.055628587239
2014,技能実習,30代,1569.477471864628
2014,技能実習,40代,151.9436865270584
2014,技能実習,50代,1.2145778299518517
2014,技能実習,60代,0.0
2014,技能実習,70代以上,0.0
2014,日本人の配偶者等,0~13歳,85.22045795172095
2014,日本人の配偶者等,10代(14歳以上),39.560487557046024
2014,日本人の配偶者等,20代,812.5062505401061
2014,日本人の配偶者等,30代,1957.8995305236526
2014,日本人の配偶者等,40代,1289.161881105496
2014,日本人の配偶者等,50代,647.1654671788616
2014,日本人の配偶者等,60代,226.99035848280917
2014,日本人の配偶者等,70代以上,56.480521869337096
2014,留学,0~13歳,0.10850565127408829
2014,留学,10代(14歳以上),376.7967246143989
2014,留学,20代,3500.17529879954
2014,留学,30代,370.54679910101146
2014,留学,40代,22.178555120423383
2014,留学,50代,2.408825458284681
2014,留学,60代,0.32551695382226487
2014,留学,70代以上,0.021701130254817656
2014,短期滞在,0~13歳,2222.874602073527
2014,短期滞在,10代(14歳以上),1436.560295522074
2014,短期滞在,20代,6613.287399493975
2014,短期滞在,30代,8252.180473967737
2014,短期滞在,40代,6628.477720120797
2014,短期滞在,50代,5130.6161372940505
2014,短期滞在,60代,2555.0391445269142
2014,短期滞在,70代以上,941.5468262168117
2015,その他,0~13歳,727.4944713497716
2015,その他,10代(14歳以上),150.3115321516406
2015,その他,20代,1710.3140320043133
2015,その他,30代,2030.213756177278
2015,その他,40代,743.4495698122635
2015,その他,50代,231.13135818164548
2015,その他,60代,66.24266788927349
2015,その他,70代以上,31.968215464847322
2015,定住者,0~13歳,546.9732044932829
2015,定住者,10代(14歳以上),258.1260977767823
2015,定住者,20代,480.25146647500907
2015,定住者,30代,488.7947498864795
2015,定住者,40代,326.06623275017245
2015,定住者,50代,151.47285002713733
2015,定住者,60代,43.151558827035544
2015,定住者,70代以上,24.991642305540175
2015,技能実習,0~13歳,0.0
2015,技能実習,10代(14歳以上),248.60889415550562
2015,技能実習,20代,4130.440332446825
2015,技能実習,30代,1414.6605440604412
2015,技能実習,40代,193.47252586338132
2015,技能実習,50代,3.070468413872776
2015,技能実習,60代,0.0
2015,技能実習,70代以上,0.0
2015,日本人の配偶者等,0~13歳,67.41760472271459
2015,日本人の配偶者等,10代(14歳以上),32.34583703036426
2015,日本人の配偶者等,20代,603.0208262359369
2015,日本人の配偶者等,30代,1520.7882856083497
2015,日本人の配偶者等,40代,1003.5921216580194
2015,日本人の配偶者等,50代,524.2217584399838
2015,日本人の配偶者等,60代,195.92977912745613
2015,日本人の配偶者等,70代以上,48.785728136153466
2015,留学,0~13歳,0.38933666418179574
2015,留学,10代(14歳以上),406.007352257216
2015,留学,20代,3238.4138870586817
2015,留学,30代,334.0154636257824
2015,留学,40代,20.333992142948972
2015,留学,50代,2.3006257428922527
2015,留学,60代,0.3716395430826232
2015,留学,70代以上,0.035394242198345076
2015,短期滞在,0~13歳,2716.146972018405
2015,短期滞在,10代(14歳以上),1780.8704767856907
2015,短期滞在,20代,7707.090054110844
2015,短期滞在,30代,9070.929892547323
2015,短期滞在,40代,7103.6712916059005
2015,短期滞在,50代,5643.289933740072
2015,短期滞在,60代,2973.414706391657
2015,短期滞在,70代以上,1012.4108700516277
2016,その他,0~13歳,733.344231799959
2016,その他,10代(14歳以上),146.9125432568591
2016,その他,20代,1857.7957791051806
2016,その他,30代,2047.604217004237
2016,その他,40代,730.4486934016916
2016,その他,50代,232.37678294868988
2016,その他,60代,68.15651922074201
2016,その他,70代以上,30.828967652134963
2016,定住者,0~13歳,511.19009651588584
2016,定住者,10代(14歳以上),237.592813466759
2016,定住者,20代,433.4424536840921
2016,定住者,30代,460.7471533237042
2016,定住者,40代,304.0726819751046
2016,定住者,50代,146.74310746816474
2016,定住者,60代,43.066481629272836
2016,定住者,70代以上,23.400284815905515
2016,技能実習,0~13歳,0.0
2016,技能実習,10代(14歳以上),273.8948157127592
2016,技能実習,20代,4334.00372371963
2016,技能実習,30代,1437.9179594502077
2016,技能実習,40代,237.8387582000493
2016,技能実習,50代,5.815493147210848
2016,技能実習,60代,0.0
2016,技能実習,70代以上,0.0
2016,日本人の配偶者等,0~13歳,59.019187298601395
2016,日本人の配偶者等,10代(14歳以上),28.68459425695473
2016,日本人の配偶者等,20代,513.5557755862407
2016,日本人の配偶者等,30代,1326.9797918427525
2016,日本人の配偶者等,40代,887.8008845510938
2016,日本人の配偶者等,50代,490.17656203698783
2016,日本人の配偶者等,60代,191.67908958784537
2016,日本人の配偶者等,70代以上,49.49996354076263
2016,留学,0~13歳,0.7353442583948028
2016,留学,10代(14歳以上),456.1532263760204
2016,留学,20代,3303.5660523283445
2016,留学,30代,337.5390003479824
2016,留学,40代,19.486622847463096
2016,留学,50代,2.3499044779135754
2016,留学,60代,0.31971489495428124
2016,留学,70代以上,0.0
2016,短期滞在,0~13歳,3090.3297793403103
2016,短期滞在,10代(14歳以上),1970.6868452565486
2016,短期滞在,20代,8801.438101628282
2016,短期滞在,30代,9807.536375455044
2016,短期滞在,40代,7318.998749871479
2016,短期滞在,50代,5739.42718716077
2016,短期滞在,60代,3108.089991954547
2016,短期滞在,70代以上,1016.7536976024427
2017,その他,0~13歳,765.6006626599251
2017,その他,10代(14歳以上),144.23363272619045
2017,その他,20代,1971.801861606617
2017,その他,30代,2100.319247345784
2017,その他,40代,730.526743912282
2017,その他,50代,232.7190685927511
2017,その他,60代,70.9188231965369
2017,その他,70代以上,31.00548650873819
2017,定住者,0~13歳,486.3168636502812
2017,定住者,10代(14歳以上),220.8115788710643
2017,定住者,20代,402.314521494884
2017,定住者,30代,443.4260885537102
2017,定住者,40代,293.7709698055248
2017,定住者,50代,143.71256390211727
2017,定住者,60代,43.70921079393369
2017,定住者,70代以上,21.706338060488044
2017,技能実習,0~13歳,0.0
2017,技能実習,10代(14歳以上),315.5104376558867
2017,技能実習,20代,4705.738551288504
2017,技能実習,30代,1527.280030576604
2017,技能実習,40代,240.4801872497843
2017,技能実習,50代,7.208735825270776
2017,技能実習,60代,0.0
2017,技能実習,70代以上,0.0
2017,日本人の配偶者等,0~13歳,51.1783637682062
2017,日本人の配偶者等,10代(14歳以上),24.750380681795107
2017,日本人の配偶者等,20代,448.9309996461204
2017,日本人の配偶者等,30代,1177.653907185331
2017,日本人の配偶者等,40代,810.6956168168003
2017,日本人の配偶者等,50代,462.09902947961046
2017,日本人の配偶者等,60代,188.83368436612068
2017,日本人の配偶者等,70代以上,51.89077026879644
2017,留学,0~13歳,0.9985685343340082
2017,留学,10代(14歳以上),489.9498221723153
2017,留学,20代,3362.990687537454
2017,留学,30代,338.8041732942275
2017,留学,40代,18.017649641250287
2017,留学,50代,2.4602413164756607
2017,留学,60代,0.43416023231906065
2017,留学,70代以上,0.07236003871988118
2017,短期滞在,0~13歳,3412.4786729235743
2017,短期滞在,10代(14歳以上),2141.3676602246373
2017,短期滞在,20代,9413.56567660096
2017,短期滞在,30代,10160.178007952185
2017,短期滞在,40代,7565.123994990463
2017,短期滞在,50代,5898.603912915321
2017,短期滞在,60代,3251.343506145313
2017,短期滞在,70代以上,1098.46654899078
2018,その他,0~13歳,737.3550924105386
2018,その他,10代(14歳以上),130.97129374754226
2018,その他,20代,1960.1321274085724
2018,その他,30代,2053.3149823043645
2018,その他,40代,695.8757373181277
2018,その他,50代,223.93944160440398
2018,その他,60代,69.44239087691653
2018,その他,70代以上,28.228863546991402
2018,定住者,0~13歳,452.60243806527717
2018,定住者,10代(14歳以上),197.61226897365307
2018,定住者,20代,364.2453794730632
2018,定住者,30代,412.94298073141954
2018,定住者,40代,275.63271726307505
2018,定住者,50代,136.1856075501375
2018,定住者,60代,42.55289028706236
2018,定住者,70代以上,18.965788438851728
2018,技能実習,0~13歳,0.0
2018,技能実習,10代(14歳以上),303.65605929119243
2018,技能実習,20代,4860.021156430211
2018,技能実習,30代,1525.4658473769664
2018,技能実習,40代,217.01815407871902
2018,技能実習,50代,7.83878282290971
2018,技能実習,60代,0.0
2018,技能実習,70代以上,0.0
2018,日本人の配偶者等,0~13歳,46.73632923567275
2018,日本人の配偶者等,10代(14歳以上),22.858037475691088
2018,日本人の配偶者等,20代,421.6472174053453
2018,日本人の配偶者等,30代,1114.616951817971
2018,日本人の配偶者等,40代,776.5437555725609
2018,日本人の配偶者等,50代,461.2417666509875
2018,日本人の配偶者等,60代,192.3939089715597
2018,日本人の配偶者等,70代以上,55.96203287021111
2018,留学,0~13歳,0.85984363675604
2018,留学,10代(14歳以上),496.16771268639445
2018,留学,20代,3265.1171182285
2018,留学,30代,317.7880923375841
2018,留学,40代,17.41183364431186
2018,留学,50代,2.20018812934641
2018,留学,60代,0.41727705901384
2018,留学,70代以上,0.03793427809218338
2018,短期滞在,0~13歳,3638.1938749659357
2018,短期滞在,10代(14歳以上),2188.016641761423
2018,短期滞在,20代,9724.969399146945
2018,短期滞在,30代,10619.998704409414
2018,短期滞在,40代,7764.95454569917
2018,短期滞在,50代,6042.139234529203
2018,短期滞在,60代,3442.8649263097946
2018,短期滞在,70代以上,1170.8626731781053
2019,その他,0~13歳,915.1036962585417
2019,その他,10代(14歳以上),154.09612056404313
2019,その他,20代,2520.3817702788697
2019,その他,30代,2602.462013881042
2019,その他,40代,861.2106361846754
2019,その他,50代,282.7066675389396
2019,その他,60代,86.21962020423035
2019,その他,70代以上,34.68032329624125
2019,定住者,0~13歳,542.5829918581204
2019,定住者,10代(14歳以上),231.35288891003475
2019,定住者,20代,430.6690900007731
2019,定住者,30代,496.6672177848616
2019,定住者,40代,341.8869985666959
2019,定住者,50代,171.69716729212612
2019,定住者,60代,53.7307315796672
2019,定住者,70代以上,22.552065801133356
2019,技能実習,0~13歳,0.0
2019,技能実習,10代(14歳以上),500.9681242504262
2019,技能実習,20代,6497.863245120462
2019,技能実習,30代,2059.960142395209
2019,技能実習,40代,294.982298502348
2019,技能実習,50代,12.226189731553283
2019,技能実習,60代,0.0
2019,技能実習,70代以上,0.0
2019,日本人の配偶者等,0~13歳,41.29656674531912
2019,日本人の配偶者等,10代(14歳以上),22.622621225025433
2019,日本人の配偶者等,20代,394.2094578557167
2019,日本人の配偶者等,30代,1038.9130307303517
2019,日本人の配偶者等,40代,731.9034946874606
2019,日本人の配偶者等,50代,459.87675746617697
2019,日本人の配偶者等,60代,196.13812602097073
2019,日本人の配偶者等,70代以上,61.03994526897757
2019,留学,0~13歳,1.327783830640973
2019,留学,10代(14歳以上),592.5270285916158
2019,留学,20代,3732.0369544630053
2019,留学,30代,359.81544143186665
2019,留学,40代,19.05020380172556
2019,留学,50代,2.6695443331835347
2019,留学,60代,0.5171368603549895
2019,留学,70代以上,0.055906687605945714
2019,短期滞在,0~13歳,3881.0863283530616
2019,短期滞在,10代(14歳以上),2243.1114021951116
2019,短期滞在,20代,10119.436160032306
2019,短期滞在,30代,11479.222029090868
2019,短期滞在,40代,8179.805801704607
2019,短期滞在,50代,6407.851464154546
2019,短期滞在,60代,3793.6657905801544
2019,短期滞在,70代以上,1294.8210238893334
2020,その他,0~13歳,1006.744436323227
2020,その他,10代(14歳以上),163.12971715013617
2020,その他,20代,2884.900013118889
2020,その他,30代,3042.8777551045155
2020,その他,40代,975.7113623911214
2020,その他,50代,319.64066150069027
2020,その他,60代,93.49925751497304
2020,その他,70代以上,38.403428990980856
2020,定住者,0~13歳,576.160535515258
2020,定住者,10代(14歳以上),240.0699203716502
2020,定住者,20代,455.1800363580641
2020,定住者,30代,534.3143748849341
2020,定住者,40代,380.9794716946187
2020,定住者,50代,198.7328961105249
2020,定住者,60代,61.29032101590909
2020,定住者,70代以上,24.365811954504814
2020,技能実習,0~13歳,0.0
2020,技能実習,10代(14歳以上),494.15005640844595
2020,技能実習,20代,8697.467143943422
2020,技能実習,30代,2825.227753452842
2020,技能実習,40代,389.9900676404371
2020,技能実習,50代,20.164978554849586
2020,技能実習,60代,0.0
2020,技能実習,70代以上,0.0
2020,日本人の配偶者等,0~13歳,34.57835683331124
2020,日本人の配偶者等,10代(14歳以上),20.26104800395093
2020,日本人の配偶者等,20代,344.7368721262668
2020,日本人の配偶者等,30代,933.4100334587746
2020,日本人の配偶者等,40代,672.072419813716
2020,日本人の配偶者等,50代,431.537893279725
2020,日本人の配偶者等,60代,188.98473834681639
2020,日本人の配偶者等,70代以上,61.418638137438165
2020,留学,0~13歳,1.5821716683371125
2020,留学,10代(14歳以上),488.0801825363127
2020,留学,20代,4576.214002062275
2020,留学,30代,448.9016565991011
2020,留学,40代,24.385220838253883
2020,留学,50代,3.0852347532579794
2020,留学,60代,0.7119772507517561
2020,留学,70代以上,0.039554291708441415
2020,短期滞在,0~13歳,4559.256594951259
2020,短期滞在,10代(14歳以上),2743.155957631502
2020,短期滞在,20代,12729.413540682619
2020,短期滞在,30代,12554.18590276828
2020,短期滞在,40代,8637.521056208165
2020,短期滞在,50代,6036.134131304452
2020,短期滞在,60代,3085.6123832406515
2020,短期滞在,70代以上,893.7204332130608
2021,その他,0~13歳,938.0564613172885
2021,その他,10代(14歳以上),145.55885203130765
2021,その他,20代,3113.836835099302
2021,その他,30代,3156.7987221127732
2021,その他,40代,969.3542196901117
2021,その他,50代,317.276140780576
2021,その他,60代,81.5423246898461
2021,その他,70代以上,37.656780789094505
2021,定住者,0~13歳,534.2289334966189
2021,定住者,10代(14歳以上),226.3433044033864
2021,定住者,20代,419.5060113944943
2021,定住者,30代,502.32724562057393
2021,定住者,40代,381.1742505723868
2021,定住者,50代,206.67414940631474
2021,定住者,60代,65.1888610830093
2021,定住者,70代以上,24.476907512911904
2021,技能実習,10代(14歳以上),146.4140026658827
2021,技能実習,20代,6527.82317059395
2021,技能実習,30代,2187.9865745656643
2021,技能実習,40代,303.9569222601262
2021,技能実習,50代,19.793388383073705
2021,技能実習,60代,0.02594153130153853
2021,日本人の配偶者等,0~13歳,28.350628072091553
2021,日本人の配偶者等,10代(14歳以上),18.414577230524788
2021,日本人の配偶者等,20代,311.2525693858297
2021,日本人の配偶者等,30代,867.9558115287224
2021,日本人の配偶者等,40代,628.5840822203467
2021,日本人の配偶者等,50代,410.5953031130529
2021,日本人の配偶者等,60代,179.80874832431357
2021,日本人の配偶者等,70代以上,61.03828012511769
2021,留学,0~13歳,1.1585470760692418
2021,留学,10代(14歳以上),245.2469584452518
2021,留学,20代,3050.8829550043015
2021,留学,30代,300.36523235195983
2021,留学,40代,15.902248907146863
2021,留学,50代,1.8727199311806655
2021,留学,60代,0.49198574463215355
2021,留学,70代以上,0.07935253945682132
2021,短期滞在,0~13歳,2587.022679040205
2021,短期滞在,10代(14歳以上),2013.374246642063
2021,短期滞在,20代,12994.215440120755
2021,短期滞在,30代,11912.050356961821
2021,短期滞在,40代,8275.481611014984
2021,短期滞在,50代,6057.096315972802
2021,短期滞在,60代,2491.848464681874
2021,短期滞在,70代以上,567.9108855654849
2022,その他,0~13歳,783.571201805385
2022,その他,10代(14歳以上),123.71704788861638
2022,その他,20代,2789.270941707466
2022,その他,30代,2685.9685970012233
2022,その他,40代,816.3549189106484
2022,その他,50代,268.3959417074659
2022,その他,60代,67.05638004895921
2022,その他,70代以上,30.361937729497647
2022,定住者,0~13歳,405.86331471848206
2022,定住者,10代(14歳以上),178.05460143818837
2022,定住者,20代,316.91225520195826
2022,定住者,30代,371.0255699204405
2022,定住者,40代,300.37239902080773
2022,定住者,50代,167.4346503977968
2022,定住者,60代,55.57535189718473
2022,定住者,70代以上,20.06489060587503
2022,技能実習,10代(14歳以上),144.56718107717987
2022,技能実習,20代,4323.125826622194
2022,技能実習,30代,1415.084928087302
2022,技能実習,40代,194.78916899865422
2022,技能実習,50代,15.395707515357095
2022,技能実習,60代,0.03718769931245785
2022,日本人の配偶者等,0~13歳,20.85551484417439
2022,日本人の配偶者等,10代(14歳以上),14.139567282909862
2022,日本人の配偶者等,20代,229.6604299307596
2022,日本人の配偶者等,30代,675.4800150461834
2022,日本人の配偶者等,40代,511.0919349670515
2022,日本人の配偶者等,50代,333.2025801418241
2022,日本人の配偶者等,60代,153.93950876997445
2022,日本人の配偶者等,70代以上,53.63044901712197
2022,留学,0~13歳,0.7062243305324718
2022,留学,10代(14歳以上),195.5711727327461
2022,留学,20代,1902.2505455061416
2022,留学,30代,188.34120114891837
2022,留学,40代,12.685554537192136
2022,留学,50代,1.9950837337545955
2022,留学,60代,0.414906794187761
2022,留学,70代以上,0.03531121652663105
2022,短期滞在,0~13歳,1939.1150401603115
2022,短期滞在,10代(14歳以上),1126.6565713458467
2022,短期滞在,20代,9862.866811307076
2022,短期滞在,30代,9432.845648262864
2022,短期滞在,40代,5813.422339581625
2022,短期滞在,50代,4983.655141194227
2022,短期滞在,60代,3819.6145197273822
2022,短期滞在,70代以上,1495.8239284206554
2023,その他,0~13歳,1214.6713804590208
2023,その他,10代(14歳以上),207.1977865670682
2023,その他,20代,4395.706472364207
2023,その他,30代,4252.876361600793
2023,その他,40代,1253.468170430664
2023,その他,50代,421.22573895807056
2023,その他,60代,119.45549733415197
2023,その他,70代以上,47.400868120875224
2023,定住者,0~13歳,570.6205320681646
2023,定住者,10代(14歳以上),258.79812060089364
2023,定住者,20代,438.7235135953599
2023,定住者,30代,498.66244230116246
2023,定住者,40代,428.76788319828177
2023,定住者,50代,242.78463995007834
2023,定住者,60代,85.26846592212583
2023,定住者,70代以上,29.372126529076485
2023,技能実習,10代(14歳以上),642.0881480013066
2023,技能実習,20代,7433.633620822036
2023,技能実習,30代,2420.0869948821605
2023,技能実習,40代,370.6639928076636
2023,技能実習,50代,46.37489494889041
2023,技能実習,60代,0.15234853793985353
2023,日本人の配偶者等,0~13歳,20.164900923445003
2023,日本人の配偶者等,10代(14歳以上),13.584640073984405
2023,日本人の配偶者等,20代,201.4176719389628
2023,日本人の配偶者等,30代,627.5538223014048
2023,日本人の配偶者等,40代,493.930830012648
2023,日本人の配偶者等,50代,319.5025092140515
2023,日本人の配偶者等,60代,155.5871832882262
2023,日本人の配偶者等,70代以上,58.25844224727647
2023,留学,0~13歳,1.0054655526352845
2023,留学,10代(14歳以上),229.88319669451727
2023,留学,20代,1898.5415473528683
2023,留学,30代,198.13044103610125
2023,留学,40代,17.33084899122621
2023,留学,50代,2.594254631990412
2023,留学,60代,0.4758691928501636
2023,留学,70代以上,0.03837654781051008
2023,短期滞在,0~13歳,3703.0559411514896
2023,短期滞在,10代(14歳以上),2418.2050911036226
2023,短期滞在,20代,10553.481186514817
2023,短期滞在,30代,11159.891429540598
2023,短期滞在,40代,7594.098484668051
2023,短期滞在,50代,6566.9437941211145
2023,短期滞在,60代,5244.527814906589
2023,短期滞在,70代以上,2244.7962579936925
2024,その他,0~13歳,1122.7862111019112
2024,その他,10代(14歳以上),208.9519798638932
2024,その他,20代,4144.648807959824
2024,その他,30代,4137.734358788406
2024,その他,40代,1210.0763567189874
2024,その他,50代,389.6062899834339
2024,その他,60代,115.52096295231246
2024,その他,70代以上,42.97654871737811
2024,定住者,0~13歳,473.9644799435689
2024,定住者,10代(14歳以上),222.7999788950496
2024,定住者,20代,355.58796408758985
2024,定住者,30代,396.57804121980945
2024,定住者,40代,355.6452661525463
2024,定住者,50代,205.23689598588092
2024,定住者,60代,76.60331050268734
2024,定住者,70代以上,26.282547126716715
2024,技能実習,10代(14歳以上),679.015456386212
2024,技能実習,20代,8277.540235933044
2024,技能実習,30代,2416.627458810374
2024,技能実習,40代,375.8662294404216
2024,技能実習,50代,52.61794538117101
2024,技能実習,60代,0.3326740487745294
2024,日本人の配偶者等,0~13歳,19.14001917341278
2024,日本人の配偶者等,10代(14歳以上),13.420590115040357
2024,日本人の配偶者等,20代,186.24518001704303
2024,日本人の配偶者等,30代,616.4817053685555
2024,日本人の配偶者等,40代,500.525298253089
2024,日本人の配偶者等,50代,319.00868129527055
2024,日本人の配偶者等,60代,164.1200202386024
2024,日本人の配偶者等,70代以上,65.05850553898586
2024,留学,0~13歳,1.7865752911777675
2024,留学,10代(14歳以上),279.4479623645847
2024,留学,20代,1928.7788024059319
2024,留学,30代,189.6265759423096
2024,留学,40代,17.570179793753844
2024,留学,50代,3.271009172818428
2024,留学,60代,0.4597804058177259
2024,留学,70代以上,0.0591146236051537
2024,短期滞在,0~13歳,3872.436187197936
2024,短期滞在,10代(14歳以上),2510.1884088359284
2024,短期滞在,20代,10191.72773672229
2024,短期滞在,30代,10965.892254125492
2024,短期滞在,40代,7503.52582085194
2024,短期滞在,50代,6142.478813789051
2024,短期滞在,60代,4994.930378890967
2024,短期滞在,70代以上,2161.8203995863764
