年,年代,罪種00,罪種01,検挙人員,人数,年代別検挙人員割合
2013,10代(14歳以上),その他の刑法犯,,14028,7245156.095816372,0.0019361901682284387
2013,10代(14歳以上),凶悪犯,不同意性交等,135,7245156.095816372,1.8633138915799775e-05
2013,10代(14歳以上),凶悪犯,強盗,556,7245156.095816372,7.674092768284944e-05
2013,10代(14歳以上),凶悪犯,放火,63,7245156.095816372,8.695464827373228e-06
2013,10代(14歳以上),凶悪犯,殺人,53,7245156.095816372,7.315232315091764e-06
2013,10代(14歳以上),知能犯,,921,7245156.095816372,0.0001271194143811229
2013,10代(14歳以上),窃盗犯,,33321,7245156.095816372,0.004599072754173069
2013,10代(14歳以上),粗暴犯,,7287,7245156.095816372,0.0010057754316995034
2013,10代(14歳以上),風俗犯,,537,7245156.095816372,7.411848590951466e-05
2013,20代,その他の刑法犯,,10175,13242390.943121102,0.0007683657765205543
2013,20代,凶悪犯,不同意性交等,305,13242390.943121102,2.3032094529608752e-05
2013,20代,凶悪犯,強盗,592,13242390.943121102,4.4704917906650425e-05
2013,20代,凶悪犯,放火,86,13242390.943121102,6.494295506709353e-06
2013,20代,凶悪犯,殺人,163,13242390.943121102,1.2308955437135168e-05
2013,20代,知能犯,,3032,13242390.943121102,0.00022896167414352043
2013,20代,窃盗犯,,17803,13242390.943121102,0.0013443946849528675
2013,20代,粗暴犯,,8759,13242390.943121102,0.0006614364458519444
2013,20代,風俗犯,,1225,13242390.943121102,9.250595343859253e-05
2013,30代,その他の刑法犯,,6208,16868718.34180961,0.00036801847503809996
2013,30代,凶悪犯,不同意性交等,244,16868718.34180961,1.4464643670956249e-05
2013,30代,凶悪犯,強盗,427,16868718.34180961,2.5313126424173437e-05
2013,30代,凶悪犯,放火,110,16868718.34180961,6.520945917234375e-06
2013,30代,凶悪犯,殺人,178,16868718.34180961,1.0552076120615624e-05
2013,30代,知能犯,,2870,16868718.34180961,0.00017013740711329688
2013,30代,窃盗犯,,14636,16868718.34180961,0.0008676414949512938
2013,30代,粗暴犯,,10553,16868718.34180961,0.0006255958387688578
2013,30代,風俗犯,,1405,16868718.34180961,8.329026376103906e-05
2013,40代,その他の刑法犯,,5614,18203103.133487303,0.00030840895416739227
2013,40代,凶悪犯,不同意性交等,150,18203103.133487303,8.240353246367801e-06
2013,40代,凶悪犯,強盗,316,18203103.133487303,1.73596775056815e-05
2013,40代,凶悪犯,放火,107,18203103.133487303,5.878118649075698e-06
2013,40代,凶悪犯,殺人,182,18203103.133487303,9.9982952722596e-06
2013,40代,知能犯,,2735,18203103.133487303,0.0001502491075254396
2013,40代,窃盗犯,,15335,18203103.133487303,0.0008424387802203349
2013,40代,粗暴犯,,10333,18203103.133487303,0.0005676504672981233
2013,40代,風俗犯,,1279,18203103.133487303,7.02627453473628e-05
2013,50代,その他の刑法犯,,4338,15540204.486955913,0.00027914690592657364
2013,50代,凶悪犯,不同意性交等,58,15540204.486955913,3.7322546205028288e-06
2013,50代,凶悪犯,強盗,152,15540204.486955913,9.781081074421207e-06
2013,50代,凶悪犯,放火,75,15540204.486955913,4.826191319615727e-06
2013,50代,凶悪犯,殺人,105,15540204.486955913,6.756667847462018e-06
2013,50代,知能犯,,2065,15540204.486955913,0.0001328811343334197
2013,50代,窃盗犯,,14102,15540204.486955913,0.0009074526665229464
2013,50代,粗暴犯,,6079,15540204.486955913,0.0003911788937592534
2013,50代,風俗犯,,663,15540204.486955913,4.266353126540303e-05
2013,60代,その他の刑法犯,,4654,18393061.486655373,0.00025303019855485144
2013,60代,凶悪犯,不同意性交等,38,18393061.486655373,2.0659964643498827e-06
2013,60代,凶悪犯,強盗,150,18393061.486655373,8.155249201381116e-06
2013,60代,凶悪犯,放火,76,18393061.486655373,4.1319929286997654e-06
2013,60代,凶悪犯,殺人,123,18393061.486655373,6.687304345132515e-06
2013,60代,知能犯,,1391,18393061.486655373,7.562634426080755e-05
2013,60代,窃盗犯,,19076,18393061.486655373,0.001037130225103641
2013,60代,粗暴犯,,5542,18393061.486655373,0.00030130927382702766
2013,60代,風俗犯,,472,18393061.486655373,2.5661850820345913e-05
2013,70代以上,その他の刑法犯,,3308,23213386.694431268,0.00014250398029140517
2013,70代以上,凶悪犯,不同意性交等,7,23213386.694431268,3.015501396734692e-07
2013,70代以上,凶悪犯,強盗,62,23213386.694431268,2.6708726656792984e-06
2013,70代以上,凶悪犯,放火,32,23213386.694431268,1.3785149242215734e-06
2013,70代以上,凶悪犯,殺人,102,23213386.694431268,4.394016320956265e-06
2013,70代以上,知能犯,,509,23213386.694431268,2.1927003013399404e-05
2013,70代以上,窃盗犯,,24674,23213386.694431268,0.001062921163757597
2013,70代以上,粗暴犯,,2721,23213386.694431268,0.00011721684715021567
2013,70代以上,風俗犯,,189,23213386.694431268,8.141853771183668e-06
2014,10代(14歳以上),その他の刑法犯,,11855,7200919.615093694,0.00164631750299656
2014,10代(14歳以上),凶悪犯,不同意性交等,135,7200919.615093694,1.874760547486593e-05
2014,10代(14歳以上),凶悪犯,強盗,472,7200919.615093694,6.554718358619792e-05
2014,10代(14歳以上),凶悪犯,放火,83,7200919.615093694,1.1526305588250904e-05
2014,10代(14歳以上),凶悪犯,殺人,55,7200919.615093694,7.637913341612046e-06
2014,10代(14歳以上),知能犯,,1038,7200919.615093694,0.00014414825542896916
2014,10代(14歳以上),窃盗犯,,28419,7200919.615093694,0.003946579259186777
2014,10代(14歳以上),粗暴犯,,6322,7200919.615093694,0.0008779434208303882
2014,10代(14歳以上),風俗犯,,464,7200919.615093694,6.443621437287253e-05
2014,20代,その他の刑法犯,,9317,13040240.441122737,0.0007144806909095479
2014,20代,凶悪犯,不同意性交等,315,13040240.441122737,2.415599631174279e-05
2014,20代,凶悪犯,強盗,580,13040240.441122737,4.4477707494637516e-05
2014,20代,凶悪犯,放火,88,13040240.441122737,6.748341826772589e-06
2014,20代,凶悪犯,殺人,161,13040240.441122737,1.234639811489076e-05
2014,20代,知能犯,,2931,13040240.441122737,0.0002247657942530734
2014,20代,窃盗犯,,17347,13040240.441122737,0.0013302668826025467
2014,20代,粗暴犯,,9090,13040240.441122737,0.0006970730364245776
2014,20代,風俗犯,,1252,13040240.441122737,9.601049962635546e-05
2014,30代,その他の刑法犯,,5680,16329679.319406463,0.0003478329175300946
2014,30代,凶悪犯,不同意性交等,229,16329679.319406463,1.402354544267459e-05
2014,30代,凶悪犯,強盗,369,16329679.319406463,2.259689200151495e-05
2014,30代,凶悪犯,放火,107,16329679.319406463,6.552486298542276e-06
2014,30代,凶悪犯,殺人,194,16329679.319406463,1.18802088029645e-05
2014,30代,知能犯,,2754,16329679.319406463,0.0001686499744503311
2014,30代,窃盗犯,,13951,16329679.319406463,0.0008543339845884419
2014,30代,粗暴犯,,10859,16329679.319406463,0.0006649855020174819
2014,30代,風俗犯,,1382,16329679.319406463,8.463117817369556e-05
2014,40代,その他の刑法犯,,5324,18537365.50898065,0.0002872037020266296
2014,40代,凶悪犯,不同意性交等,145,18537365.50898065,7.822039217479583e-06
2014,40代,凶悪犯,強盗,313,18537365.50898065,1.6884815690145582e-05
2014,40代,凶悪犯,放火,129,18537365.50898065,6.958917648654249e-06
2014,40代,凶悪犯,殺人,189,18537365.50898065,1.0195623531749248e-05
2014,40代,知能犯,,2637,18537365.50898065,0.00014225322356202524
2014,40代,窃盗犯,,15226,18537365.50898065,0.0008213680629334077
2014,40代,粗暴犯,,11321,18537365.50898065,0.0006107124550419748
2014,40代,風俗犯,,1259,18537365.50898065,6.79168784469434e-05
2014,50代,その他の刑法犯,,4031,15530959.022879202,0.0002595461100671113
2014,50代,凶悪犯,不同意性交等,52,15530959.022879202,3.3481512586181557e-06
2014,50代,凶悪犯,強盗,156,15530959.022879202,1.0044453775854466e-05
2014,50代,凶悪犯,放火,96,15530959.022879202,6.181202323602749e-06
2014,50代,凶悪犯,殺人,109,15530959.022879202,7.018240138257288e-06
2014,50代,知能犯,,1898,15530959.022879202,0.0001222075209395627
2014,50代,窃盗犯,,13416,15530959.022879202,0.0008638230247234841
2014,50代,粗暴犯,,6364,15530959.022879202,0.0004097622040354989
2014,50代,風俗犯,,663,15530959.022879202,4.268892854738148e-05
2014,60代,その他の刑法犯,,4186,18166728.286261037,0.00023042123678184524
2014,60代,凶悪犯,不同意性交等,34,18166728.286261037,1.8715532848979307e-06
2014,60代,凶悪犯,強盗,145,18166728.286261037,7.981624303241175e-06
2014,60代,凶悪犯,放火,65,18166728.286261037,3.577969515246044e-06
2014,60代,凶悪犯,殺人,143,18166728.286261037,7.871532933541296e-06
2014,60代,知能犯,,1348,18166728.286261037,7.420158317771797e-05
2014,60代,窃盗犯,,18132,18166728.286261037,0.0009980883576990965
2014,60代,粗暴犯,,5633,18166728.286261037,0.00031007234275970717
2014,60代,風俗犯,,438,18166728.286261037,2.4110009964273345e-05
2014,70代以上,その他の刑法犯,,3231,23858856.846438594,0.0001354214085274706
2014,70代以上,凶悪犯,不同意性交等,9,23858856.846438594,3.7721840815451425e-07
2014,70代以上,凶悪犯,強盗,61,23858856.846438594,2.5567025441583743e-06
2014,70代以上,凶悪犯,放火,30,23858856.846438594,1.2573946938483807e-06
2014,70代以上,凶悪犯,殺人,116,23858856.846438594,4.861926149547072e-06
2014,70代以上,知能犯,,519,23858856.846438594,2.175292820357699e-05
2014,70代以上,窃盗犯,,24999,23858856.846438594,0.0010477869983838556
2014,70代以上,粗暴犯,,3029,23858856.846438594,0.00012695495092222484
2014,70代以上,風俗犯,,220,23858856.846438594,9.220894421554793e-06
2015,10代(14歳以上),その他の刑法犯,,8891,7259852.072353073,0.0012246806011183967
2015,10代(14歳以上),凶悪犯,不同意性交等,94,7259852.072353073,1.2947922225298537e-05
2015,10代(14歳以上),凶悪犯,強盗,426,7259852.072353073,5.8678881574225285e-05
2015,10代(14歳以上),凶悪犯,放火,47,7259852.072353073,6.473961112649268e-06
2015,10代(14歳以上),凶悪犯,殺人,62,7259852.072353073,8.54011891455861e-06
2015,10代(14歳以上),知能犯,,1000,7259852.072353073,0.00013774385346062274
2015,10代(14歳以上),窃盗犯,,23264,7259852.072353073,0.003204473006907927
2015,10代(14歳以上),粗暴犯,,5164,7259852.072353073,0.0007113092592706558
2015,10代(14歳以上),風俗犯,,541,7259852.072353073,7.45194247221969e-05
2015,20代,その他の刑法犯,,8946,12823345.167249082,0.0006976338765993877
2015,20代,凶悪犯,不同意性交等,333,12823345.167249082,2.596826301225085e-05
2015,20代,凶悪犯,強盗,532,12823345.167249082,4.1486834602154506e-05
2015,20代,凶悪犯,放火,112,12823345.167249082,8.734070442558844e-06
2015,20代,凶悪犯,殺人,136,12823345.167249082,1.060565696596431e-05
2015,20代,知能犯,,3021,12823345.167249082,0.0002355859536336631
2015,20代,窃盗犯,,16862,12823345.167249082,0.0013149454982359574
2015,20代,粗暴犯,,9252,12823345.167249082,0.0007214966047728073
2015,20代,風俗犯,,1245,12823345.167249082,9.708855090165858e-05
2015,30代,その他の刑法犯,,5649,15988320.796281936,0.0003533204063126922
2015,30代,凶悪犯,不同意性交等,243,15988320.796281936,1.5198594217380812e-05
2015,30代,凶悪犯,強盗,374,15988320.796281936,2.339207505061903e-05
2015,30代,凶悪犯,放火,95,15988320.796281936,5.941837245478095e-06
2015,30代,凶悪犯,殺人,203,15988320.796281936,1.2696768008758455e-05
2015,30代,知能犯,,2746,15988320.796281936,0.00017175036922192474
2015,30代,窃盗犯,,13245,15988320.796281936,0.0008284172033300776
2015,30代,粗暴犯,,10840,15988320.796281936,0.0006779949025366584
2015,30代,風俗犯,,1334,15988320.796281936,8.343590405755557e-05
2015,40代,その他の刑法犯,,5186,18736867.851690367,0.00027678051855033707
2015,40代,凶悪犯,不同意性交等,143,18736867.851690367,7.632011984708484e-06
2015,40代,凶悪犯,強盗,267,18736867.851690367,1.4249980419001157e-05
2015,40代,凶悪犯,放火,128,18736867.851690367,6.8314512870117904e-06
2015,40代,凶悪犯,殺人,193,18736867.851690367,1.0300547643697465e-05
2015,40代,知能犯,,2638,18736867.851690367,0.00014079194136825863
2015,40代,窃盗犯,,15057,18736867.851690367,0.0008036028283479416
2015,40代,粗暴犯,,11641,18736867.851690367,0.0006212884721258145
2015,40代,風俗犯,,1224,18736867.851690367,6.532575293205025e-05
2015,50代,その他の刑法犯,,3721,15710822.93748844,0.00023684309948660432
2015,50代,凶悪犯,不同意性交等,71,15710822.93748844,4.519177657497691e-06
2015,50代,凶悪犯,強盗,175,15710822.93748844,1.1138818169888675e-05
2015,50代,凶悪犯,放火,85,15710822.93748844,5.410283111088785e-06
2015,50代,凶悪犯,殺人,101,15710822.93748844,6.428689343764321e-06
2015,50代,知能犯,,1867,15710822.93748844,0.0001188352772753266
2015,50代,窃盗犯,,13260,15710822.93748844,0.0008440041653298504
2015,50代,粗暴犯,,6755,15710822.93748844,0.00042995838135770283
2015,50代,風俗犯,,746,15710822.93748844,4.7483190598496864e-05
2015,60代,その他の刑法犯,,4227,18351858.44009029,0.00023033089612145043
2015,60代,凶悪犯,不同意性交等,32,18351858.44009029,1.74369261317398e-06
2015,60代,凶悪犯,強盗,137,18351858.44009029,7.465184000151102e-06
2015,60代,凶悪犯,放火,80,18351858.44009029,4.35923153293495e-06
2015,60代,凶悪犯,殺人,106,18351858.44009029,5.7759817811388085e-06
2015,60代,知能犯,,1211,18351858.44009029,6.59878673298028e-05
2015,60代,窃盗犯,,17205,18351858.44009029,0.0009375072315518227
2015,60代,粗暴犯,,5696,18351858.44009029,0.00031037728514496843
2015,60代,風俗犯,,487,18351858.44009029,2.653682195674151e-05
2015,70代以上,その他の刑法犯,,3107,24128122.1234849,0.0001287708999522938
2015,70代以上,凶悪犯,不同意性交等,17,24128122.1234849,7.045720306369469e-07
2015,70代以上,凶悪犯,強盗,61,24128122.1234849,2.5281702275796334e-06
2015,70代以上,凶悪犯,放火,44,24128122.1234849,1.8235981969426863e-06
2015,70代以上,凶悪犯,殺人,112,24128122.1234849,4.641886319490474e-06
2015,70代以上,知能犯,,533,24128122.1234849,2.2090405431146633e-05
2015,70代以上,窃盗犯,,24954,24128122.1234849,0.0010342288501479044
2015,70代以上,粗暴犯,,3193,24128122.1234849,0.00013233520551904538
2015,70代以上,風俗犯,,238,24128122.1234849,9.864008428917258e-06
2016,10代(14歳以上),その他の刑法犯,,7182,7231719.380636883,0.0009931248188681093
2016,10代(14歳以上),凶悪犯,不同意性交等,115,7231719.380636883,1.5902165715654772e-05
2016,10代(14歳以上),凶悪犯,強盗,340,7231719.380636883,4.701509863758802e-05
2016,10代(14歳以上),凶悪犯,放火,54,7231719.380636883,7.46710390126398e-06
2016,10代(14歳以上),凶悪犯,殺人,51,7231719.380636883,7.0522647956382034e-06
2016,10代(14歳以上),知能犯,,892,7231719.380636883,0.00012334549407273093
2016,10代(14歳以上),窃盗犯,,18509,7231719.380636883,0.0025594190020091665
2016,10代(14歳以上),粗暴犯,,4260,7231719.380636883,0.0005890715299886028
2016,10代(14歳以上),風俗犯,,592,7231719.380636883,8.186158351015326e-05
2016,20代,その他の刑法犯,,8139,12753045.041168712,0.0006382005218146809
2016,20代,凶悪犯,不同意性交等,288,12753045.041168712,2.2582841907191066e-05
2016,20代,凶悪犯,強盗,578,12753045.041168712,4.532250910540429e-05
2016,20代,凶悪犯,放火,111,12753045.041168712,8.70380365172989e-06
2016,20代,凶悪犯,殺人,145,12753045.041168712,1.1369833599106613e-05
2016,20代,知能犯,,3127,12753045.041168712,0.00024519634251314744
2016,20代,窃盗犯,,16000,12753045.041168712,0.0012546023281772814
2016,20代,粗暴犯,,9320,12753045.041168712,0.0007308058561632664
2016,20代,風俗犯,,1266,12753045.041168712,9.927040921702739e-05
2016,30代,その他の刑法犯,,5348,15563922.265101623,0.00034361518317215016
2016,30代,凶悪犯,不同意性交等,233,15563922.265101623,1.4970519386520379e-05
2016,30代,凶悪犯,強盗,381,15563922.265101623,2.447969049898826e-05
2016,30代,凶悪犯,放火,88,15563922.265101623,5.654101742548469e-06
2016,30代,凶悪犯,殺人,174,15563922.265101623,1.1179701172766292e-05
2016,30代,知能犯,,2662,15563922.265101623,0.0001710365777120912
2016,30代,窃盗犯,,12914,15563922.265101623,0.0008297394307189878
2016,30代,粗暴犯,,10971,15563922.265101623,0.0007048994342897642
2016,30代,風俗犯,,1265,15563922.265101623,8.127771254913424e-05
2016,40代,その他の刑法犯,,5124,19127265.367824294,0.0002678898369141438
2016,40代,凶悪犯,不同意性交等,146,19127265.367824294,7.633082784829233e-06
2016,40代,凶悪犯,強盗,295,19127265.367824294,1.5423009736470024e-05
2016,40代,凶悪犯,放火,114,19127265.367824294,5.960078338839264e-06
2016,40代,凶悪犯,殺人,149,19127265.367824294,7.789926951640792e-06
2016,40代,知能犯,,2484,19127265.367824294,0.00012986697011997133
2016,40代,窃盗犯,,14448,19127265.367824294,0.0007553615073644709
2016,40代,粗暴犯,,11873,19127265.367824294,0.0006207369308512156
2016,40代,風俗犯,,1250,19127265.367824294,6.535173617148315e-05
2016,50代,その他の刑法犯,,3585,15543632.416015755,0.00023064106922048087
2016,50代,凶悪犯,不同意性交等,50,15543632.416015755,3.216751314093178e-06
2016,50代,凶悪犯,強盗,185,15543632.416015755,1.1901979862144759e-05
2016,50代,凶悪犯,放火,97,15543632.416015755,6.240497549340765e-06
2016,50代,凶悪犯,殺人,100,15543632.416015755,6.433502628186356e-06
2016,50代,知能犯,,1892,15543632.416015755,0.00012172186972528586
2016,50代,窃盗犯,,12547,15543632.416015755,0.000807211574758542
2016,50代,粗暴犯,,6768,15543632.416015755,0.0004354194578756526
2016,50代,風俗犯,,745,15543632.416015755,4.7929594579988355e-05
2016,60代,その他の刑法犯,,3593,18480534.89709995,0.0001944207794853292
2016,60代,凶悪犯,不同意性交等,33,18480534.89709995,1.7856626003383977e-06
2016,60代,凶悪犯,強盗,137,18480534.89709995,7.413205340798803e-06
2016,60代,凶悪犯,放火,62,18480534.89709995,3.3548812491206263e-06
2016,60代,凶悪犯,殺人,100,18480534.89709995,5.411098788904236e-06
2016,60代,知能犯,,1244,18480534.89709995,6.73140689339687e-05
2016,60代,窃盗犯,,16566,18480534.89709995,0.0008964026253698757
2016,60代,粗暴犯,,5719,18480534.89709995,0.00030946073973743326
2016,60代,風俗犯,,474,18480534.89709995,2.564860825940608e-05
2016,70代以上,その他の刑法犯,,2707,24334029.668349538,0.00011124339194510413
2016,70代以上,凶悪犯,不同意性交等,10,24334029.668349538,4.109471442375476e-07
2016,70代以上,凶悪犯,強盗,68,24334029.668349538,2.7944405808153235e-06
2016,70代以上,凶悪犯,放火,51,24334029.668349538,2.095830435611493e-06
2016,70代以上,凶悪犯,殺人,97,24334029.668349538,3.986187299104212e-06
2016,70代以上,知能犯,,575,24334029.668349538,2.3629460793658987e-05
2016,70代以上,窃盗犯,,24478,24334029.668349538,0.001005916419664669
2016,70代以上,粗暴犯,,3380,24334029.668349538,0.00013890013475229107
