年,表示区分,年代,人数,総人数,構成比,構成比_pct
2013,日本人,0~13歳,15080880.02863848,125704000.0,0.11997136152102145,11.997136152102145
2014,日本人,0~13歳,14919000.0,125431000.0,0.11894188836890401,11.894188836890402
2015,日本人,0~13歳,14621766.647249864,125319000.0,0.11667637506882328,11.667637506882327
2016,日本人,0~13歳,14461652.975852445,125020000.0,0.1156747158522832,11.56747158522832
2017,日本人,0~13歳,14294114.675844586,124648000.0,0.11467584458510835,11.467584458510835
2018,日本人,0~13歳,14125113.712293807,124218000.0,0.11371229380841591,11.37122938084159
2019,日本人,0~13歳,13945112.70508365,123731000.0,0.11270508364988281,11.270508364988281
2020,日本人,0~13歳,13747888.589951375,123399000.0,0.11141004862236627,11.141004862236628
2021,日本人,0~13歳,13488109.855919989,122780000.0,0.1098559199863169,10.98559199863169
2022,日本人,0~13歳,13190216.178121597,122031000.0,0.10808906079702368,10.808906079702368
2023,日本人,0~13歳,12869000.0,121193000.0,0.10618600084163277,10.618600084163276
2024,日本人,0~13歳,12511687.977456173,120296000.0,0.10400751460943151,10.400751460943152
2013,日本人,10代(14歳以上),7143943.168529494,125704000.0,0.05683147050634422,5.683147050634422
2014,日本人,10代(14歳以上),7093000.0,125431000.0,0.056549018982548174,5.654901898254818
2015,日本人,10代(14歳以上),7139886.05261688,125319000.0,0.05697369156007374,5.697369156007373
2016,日本人,10代(14歳以上),7100829.607352247,125020000.0,0.05679754925093783,5.679754925093783
2017,日本人,10代(14歳以上),7012056.254863735,124648000.0,0.05625486373518817,5.625486373518817
2018,日本人,10代(14歳以上),6899055.539901946,124218000.0,0.055539901945788415,5.553990194578842
2019,日本人,10代(14歳以上),6763054.659338882,123731000.0,0.0546593388830518,5.46593388830518
2020,日本人,10代(14歳以上),6682945.842787682,123399000.0,0.054157212317666126,5.415721231766613
2021,日本人,10代(14歳以上),6578053.575937253,122780000.0,0.05357593725311332,5.3575937253113315
2022,日本人,10代(14歳以上),6494106.433716576,122031000.0,0.05321685828778405,5.3216858287784055
2023,日本人,10代(14歳以上),6433000.0,121193000.0,0.053080623468352135,5.3080623468352135
2024,日本人,10代(14歳以上),6376840.971246644,120296000.0,0.053009584452073585,5.300958445207359
2013,日本人,20代,12668899.216419397,125704000.0,0.10078358060538564,10.078358060538564
2014,日本人,20代,12451000.0,125431000.0,0.0992657317569022,9.926573175690221
2015,日本人,20代,12177805.651088003,125319000.0,0.09717445599699968,9.717445599699968
2016,日本人,20代,12026711.40510146,125020000.0,0.0961982995128896,9.61982995128896
2017,日本人,20代,11921095.638081944,124648000.0,0.09563808194340818,9.563808194340819
2018,日本人,20代,11855095.43782252,124218000.0,0.09543782252026696,9.543782252026697
2019,日本人,20代,11823095.554837145,123731000.0,0.09555483714539723,9.555483714539722
2020,日本人,20代,11865903.841166936,123399000.0,0.09615883306320906,9.615883306320907
2021,日本人,20代,11839096.425284456,122780000.0,0.09642528445418193,9.642528445418193
2022,日本人,20代,11777193.01969204,122031000.0,0.0965098460202083,9.65098460202083
2023,日本人,20代,11704000.0,121193000.0,0.09657323442773097,9.657323442773096
2024,日本人,20代,11599710.720787372,120296000.0,0.0964264042095113,9.64264042095113
2013,日本人,30代,16341869.997215703,125704000.0,0.13000278429656736,13.000278429656737
2014,日本人,30代,15791000.0,125431000.0,0.12589391777152378,12.589391777152379
2015,日本人,30代,15423753.848118031,125319000.0,0.12307594098355422,12.307594098355422
2016,日本人,30代,14963640.93006887,125020000.0,0.11968997704422388,11.968997704422387
2017,日本人,30代,14565116.849984355,124648000.0,0.11684998435582084,11.684998435582084
2018,日本人,30代,14174114.106764777,124218000.0,0.11410676477454779,11.410676477454778
2019,日本人,30代,13804111.565505536,123731000.0,0.11156550553624828,11.156550553624827
2020,日本人,30代,13590889.862236628,123399000.0,0.11013776337115072,11.013776337115072
2021,日本人,30代,13290108.243266355,122780000.0,0.1082432663566245,10.82432663566245
2022,日本人,30代,13008213.195224084,122031000.0,0.10659761204303893,10.659761204303893
2023,日本人,30代,12713000.0,121193000.0,0.10489879778535063,10.489879778535064
2024,日本人,30代,12465689.124597875,120296000.0,0.10362513404101446,10.362513404101446
2013,日本人,40代,17794858.438407384,125704000.0,0.14156159261763654,14.156159261763653
2014,日本人,40代,18121000.0,125431000.0,0.14446986789549632,14.446986789549632
2015,日本人,40代,18303707.88614837,125319000.0,0.14605692581450835,14.605692581450835
2016,日本人,40代,18678551.78647129,125020000.0,0.14940450957023907,14.940450957023907
2017,日本人,40代,18580149.06094812,124648000.0,0.14906094811748377,14.906094811748376
2018,日本人,40代,18432148.38548669,124218000.0,0.1483854866886175,14.838548668861751
2019,日本人,40代,18180146.93283763,123731000.0,0.1469328376303241,14.693283763032412
2020,日本人,40代,17938854.627228525,123399000.0,0.14537277147487843,14.537277147487842
2021,日本人,40代,17500142.532517776,122780000.0,0.14253251777584114,14.253251777584113
2022,日本人,40代,16988278.42562014,122031000.0,0.1392128100697375,13.921281006973752
2023,日本人,40代,16444000.0,121193000.0,0.13568440421476488,13.568440421476488
2024,日本人,40代,15910603.213659298,120296000.0,0.1322621135670288,13.22621135670288
2013,日本人,50代,15295878.318284873,125704000.0,0.12168171512668549,12.168171512668549
2014,日本人,50代,15270000.0,125431000.0,0.12174023965367413,12.174023965367413
2015,日本人,50代,15428753.768322948,125319000.0,0.12311583852666354,12.311583852666354
2016,日本人,50代,15244634.187309535,125020000.0,0.12193756348831815,12.193756348831815
2017,日本人,50代,15533124.615915343,124648000.0,0.12461591534493408,12.461591534493408
2018,日本人,50代,15783127.059903234,124218000.0,0.12705990323385688,12.705990323385688
2019,日本人,50代,16035129.596702496,123731000.0,0.1295967024973733,12.959670249737329
2020,日本人,50代,16378867.26904376,123399000.0,0.13273095623987033,13.273095623987032
2021,日本人,50代,16766136.554296743,122780000.0,0.13655429674455727,13.655429674455727
2022,日本人,50代,17191281.75269813,122031000.0,0.14087634906456664,14.087634906456664
2023,日本人,50代,17608000.0,121193000.0,0.14528891932702384,14.528891932702384
2024,日本人,50代,17946552.44016991,120296000.0,0.14918661003000858,14.918661003000858
2013,日本人,60代,18260854.73131537,125704000.0,0.14526868461875017,14.526868461875017
2014,日本人,60代,18027000.0,125431000.0,0.14372045188191118,14.372045188191118
2015,日本人,60代,18199709.54588617,125319000.0,0.14522705691783505,14.522705691783505
2016,日本人,60代,18318560.42488182,125020000.0,0.14652503939275172,14.65250393927517
2017,日本人,60代,17605141.238858536,124648000.0,0.14123885853650708,14.123885853650709
2018,日本人,60代,16836135.537003793,124218000.0,0.13553700379175154,13.553700379175154
2019,日本人,60代,16104130.154368382,123731000.0,0.13015436838276892,13.015436838276893
2020,日本人,60代,15522874.205834685,123399000.0,0.1257941653160454,12.57941653160454
2021,日本人,60代,15098122.968911624,122780000.0,0.12296891162169428,12.296891162169429
2022,日本人,60代,14811242.74557687,122031000.0,0.1213727884355358,12.13727884355358
2023,日本人,60代,14664000.0,121193000.0,0.12099708729052008,12.099708729052008
2024,日本人,60代,14649634.66030474,120296000.0,0.12177989841977073,12.177989841977073
2013,日本人,70代以上,23116816.101189293,125704000.0,0.18389881070760908,18.389881070760907
2014,日本人,70代以上,23759000.0,125431000.0,0.1894188836890402,18.94188836890402
2015,日本人,70代以上,24023616.600569736,125319000.0,0.1916997151315422,19.16997151315422
2016,日本人,70代以上,24225418.682962336,125020000.0,0.19377234588835654,19.377234588835655
2017,日本人,70代以上,25137201.66550338,124648000.0,0.20166550338154948,20.16655033815495
2018,日本人,70代以上,26113210.22082324,124218000.0,0.21022082323675506,21.022082323675505
2019,日本人,70代以上,27076218.83132628,123731000.0,0.21883132627495358,21.883132627495357
2020,日本人,70代以上,27670775.761750404,123399000.0,0.22423824959481362,22.42382495948136
2021,日本人,70代以上,28220229.843865808,122780000.0,0.2298438658076707,22.98438658076707
2022,日本人,70代以上,28570468.249350563,122031000.0,0.23412467528210507,23.412467528210506
2023,日本人,70代以上,28758000.0,121193000.0,0.2372909326446247,23.72909326446247
2024,日本人,70代以上,28835280.89177799,120296000.0,0.23970274067116104,23.970274067116105
2013,外国人全体,0~13歳,184425.6380394192,2267326.8489548466,0.08134056107721414,8.134056107721415
2014,外国人全体,0~13歳,189843.6736383172,2342592.7138206973,0.08103998297198149,8.10399829719815
2015,外国人全体,0~13歳,202646.09859172255,2504602.1344796666,0.08090949688255475,8.090949688255474
2016,外国人全体,0~13歳,217713.22624468766,2693515.2382938853,0.08082865957075135,8.082865957075134
2017,外国人全体,0~13歳,236635.40898336412,2912106.0940082576,0.08125919913091365,8.125919913091364
2018,外国人全体,0~13歳,253822.7459242026,3122962.5313993227,0.08127627000714314,8.127627000714314
2019,外国人全体,0~13歳,269408.3270708354,3359083.6051050937,0.08020292399432749,8.02029239943275
2020,外国人全体,0~13歳,246943.4085412601,3055321.836436106,0.08082402501639839,8.082402501639839
2021,外国人全体,0~13歳,232928.33372244408,2910461.5269981055,0.08003140792680051,8.003140792680052
2022,外国人全体,0~13歳,245107.86768484765,3092466.123235664,0.07925967752506533,7.925967752506533
2023,外国人全体,0~13歳,293387.7699752985,3726003.9466599617,0.07874059560197061,7.874059560197061
2024,外国人全体,0~13歳,328929.0016719146,4251621.712852029,0.07736553811398847,7.736553811398847
2013,外国人全体,10代(14歳以上),101212.92728687837,2267326.8489548466,0.04463976040046179,4.4639760400461785
2014,外国人全体,10代(14歳以上),107919.61509369436,2342592.7138206973,0.04606844990893904,4.6068449908939035
2015,外国人全体,10代(14歳以上),119966.01973619306,2504602.1344796666,0.04789823424833746,4.789823424833746
2016,外国人全体,10代(14歳以上),130889.77328463583,2693515.2382938853,0.048594406084572016,4.859440608457201
2017,外国人全体,10代(14歳以上),142872.79901295027,2912106.0940082576,0.0490616737168042,4.90616737168042
2018,外国人全体,10代(14歳以上),151476.02957298898,3122962.5313993227,0.048503953553716284,4.850395355371628
2019,外国人全体,10代(14歳以上),163768.7996443748,3359083.6051050937,0.048754011181942905,4.875401118194291
2020,外国人全体,10代(14歳以上),125342.13603116333,3055321.836436106,0.04102420063785137,4.102420063785138
2021,外国人全体,10代(14歳以上),98431.89178655583,2910461.5269981055,0.0338200284983942,3.38200284983942
2022,外国人全体,10代(14歳以上),111393.62432192446,3092466.123235664,0.0360209683414002,3.60209683414002
2023,外国人全体,10代(14歳以上),159797.87901555188,3726003.9466599617,0.0428872006855486,4.28872006855486
2024,外国人全体,10代(14歳以上),193883.70216003922,4251621.712852029,0.04560229372569935,4.560229372569935
2013,外国人全体,20代,573491.726701704,2267326.8489548466,0.252937386140892,25.2937386140892
2014,外国人全体,20代,589240.4411227361,2342592.7138206973,0.25153345592102644,25.153345592102642
2015,外国人全体,20代,645539.5161610781,2504602.1344796666,0.25774134233706925,25.774134233706924
2016,外国人全体,20代,726333.6360672521,2693515.2382938853,0.2696601176562577,26.96601176562577
2017,外国人全体,20代,817292.8294760771,2912106.0940082576,0.2806535212290791,28.06535212290791
2018,外国人全体,20代,904280.4724717996,3122962.5313993227,0.2895585404499278,28.95585404499278
2019,外国人全体,20代,1001357.5701205892,3359083.6051050937,0.2981043903160786,29.81043903160786
2020,外国人全体,20代,940365.7088320598,3055321.836436106,0.30777959219149026,30.777959219149025
2021,外国人全体,20代,870898.1996450652,2910461.5269981055,0.29923027381273204,29.923027381273204
2022,外国人全体,20代,929401.0508840589,3092466.123235664,0.3005371809575788,30.05371809575788
2023,外国人全体,20代,1103359.7202523795,3726003.9466599617,0.2961241415864429,29.61241415864429
2024,外国人全体,20代,1306450.1407223975,4251621.712852029,0.3072827803031465,30.728278030314648
2013,外国人全体,30代,526848.3445939083,2267326.8489548466,0.23236541517459902,23.2365415174599
2014,外国人全体,30代,538679.3194064628,2342592.7138206973,0.2299500533013668,22.99500533013668
2015,外国人全体,30代,564566.9481639045,2504602.1344796666,0.2254118290453321,22.541182904533212
2016,外国人全体,30代,600281.3350327539,2693515.2382938853,0.22286168145571045,22.286168145571043
2017,外国人全体,30代,642238.8033129429,2912106.0940082576,0.2205410045445692,22.054100454456922
2018,外国人全体,30代,685213.7212155014,3122962.5313993227,0.21941144484640168,21.94114448464017
2019,外国人全体,30代,739375.4469384719,3359083.6051050937,0.2201122490118371,22.01122490118371
2020,外国人全体,30代,682798.8127906071,3055321.836436106,0.2234785234890544,22.34785234890544
2021,外国人全体,30代,663504.0582607514,2910461.5269981055,0.2279721109885619,22.79721109885619
2022,外国人全体,30代,696405.108480231,3092466.123235664,0.22519409452789046,22.519409452789045
2023,外国人全体,30代,837957.5904891557,3726003.9466599617,0.2248944452247056,22.48944452247056
2024,外国人全体,30代,963437.4265828107,4251621.712852029,0.22660469149230295,22.660469149230295
2013,外国人全体,40代,408244.6950799206,2267326.8489548466,0.18005551130314812,18.005551130314814
2014,外国人全体,40代,416365.50898065045,2342592.7138206973,0.177737046019225,17.7737046019225
2015,外国人全体,40代,433159.96554199635,2504602.1344796666,0.1729456186189771,17.29456186189771
2016,外国人全体,40代,448713.58135300345,2693515.2382938853,0.16659032589591943,16.659032589591945
2017,外国人全体,40代,467995.5953807547,2912106.0940082576,0.1607069180424673,16.07069180424673
2018,外国人全体,40代,484316.49523518374,3122962.5313993227,0.15508239063571905,15.508239063571905
2019,外国人全体,40代,501359.12001570885,3359083.6051050937,0.14925473103847414,14.925473103847414
2020,外国人全体,40代,445695.59480658977,3055321.836436106,0.14587517082209364,14.587517082209365
2021,外国人全体,40代,429060.84065940534,2910461.5269981055,0.147420206960078,14.742020696007799
2022,外国人全体,40代,448713.61830150674,3092466.123235664,0.14509895999507838,14.509895999507838
2023,外国人全体,40代,529804.8523769651,3726003.9466599617,0.14219116779301563,14.219116779301563
2024,外国人全体,40代,585926.7885138975,4251621.712852029,0.13781254026968737,13.781254026968737
2013,外国人全体,50代,244326.16867104065,2267326.8489548466,0.10775957104890542,10.775957104890542
2014,外国人全体,50代,260959.02287920212,2342592.7138206973,0.11139752178840594,11.139752178840594
2015,外国人全体,50代,282069.169165492,2504602.1344796666,0.11262035006773327,11.262035006773328
2016,外国人全体,50代,298998.22870622063,2693515.2382938853,0.11100669654856335,11.100669654856334
2017,外国人全体,50代,317715.5793134125,2912106.0940082576,0.10910164982214125,10.910164982214125
2018,外国人全体,50代,338794.2568465782,3122962.5313993227,0.10848489325127217,10.848489325127217
2019,外国人全体,50代,361036.96868264413,3359083.6051050937,0.10748079271797362,10.748079271797362
2020,外国人全体,50代,323335.3431725336,3055321.836436106,0.10582693427468498,10.582693427468499
2021,外国人全体,50代,323092.83860437386,2910461.5269981055,0.111010860513802,11.1010860513802
2022,外国人全体,50代,342828.6362093892,3092466.123235664,0.11085930210633504,11.085930210633505
2023,外国人全体,50代,405389.92067072354,3726003.9466599617,0.10880018552694243,10.880018552694242
2024,外国人全体,50代,433803.3124611535,4251621.712852029,0.10203243415326196,10.203243415326197
2013,外国人全体,60代,132206.7553400013,2267326.8489548466,0.05830952665732499,5.830952665732499
2014,外国人全体,60代,139728.2862610388,2342592.7138206973,0.059646854289556045,5.964685428955605
2015,外国人全体,60代,152148.8942041194,2504602.1344796666,0.06074772999254369,6.074772999254369
2016,外国人全体,60代,161974.47221812804,2693515.2382938853,0.06013497526033126,6.013497526033126
2017,外国人全体,60代,172414.4813167644,2912106.0940082576,0.05920611260404014,5.920611260404014
2018,外国人全体,60代,182799.36416102317,3122962.5313993227,0.05853396008536653,5.853396008536653
2019,外国人全体,60代,193235.09672172368,3359083.6051050937,0.057526134933958584,5.752613493395859
2020,外国人全体,60代,167342.6842152895,3055321.836436106,0.054770886071526644,5.477088607152664
2021,外国人全体,60代,166445.88555837737,2910461.5269981055,0.057188828649472716,5.718882864947272
2022,外国人全体,60代,183131.06763739148,3092466.123235664,0.05921845554310566,5.921845554310566
2023,外国人全体,60代,237165.68976610404,3726003.9466599617,0.06365148646144148,6.3651486461441475
2024,外国人全体,60代,266812.9363696425,4251621.712852029,0.06275556820191837,6.275556820191837
2013,外国人全体,70代以上,96570.59324197409,2267326.8489548466,0.04259226819745443,4.259226819745443
2014,外国人全体,70代以上,99856.84643859522,2342592.7138206973,0.04262663579949916,4.2626635799499155
2015,外国人全体,70代以上,104505.52291516055,2504602.1344796666,0.04172539880745237,4.172539880745237
2016,外国人全体,70代以上,108610.98538720369,2693515.2382938853,0.04032313752789444,4.0323137527894435
2017,外国人全体,70代以上,114940.59721199192,2912106.0940082576,0.039469920909985225,3.9469920909985223
2018,外国人全体,70代以上,122259.44597204505,3122962.5313993227,0.039148547170453435,3.9148547170453436
2019,外国人全体,70代以上,129542.27591074571,3359083.6051050937,0.03856476680540757,3.856476680540757
2020,外国人全体,70代以上,123498.1480466029,3055321.836436106,0.04042066749690039,4.042066749690039
2021,外国人全体,70代以上,126099.47876113236,2910461.5269981055,0.04332628265015868,4.332628265015868
2022,外国人全体,70代以上,135485.14971631436,3092466.123235664,0.0438113610035461,4.38113610035461
2023,外国人全体,70代以上,159140.52411378338,3726003.9466599617,0.04271077711993274,4.271077711993274
2024,外国人全体,70代以上,172378.40437017393,4251621.712852029,0.04054415373999509,4.054415373999509
